data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/abalone/datasets/K-IPO/1.csv,1.0,8,4177,5299,0.92,0.8986,0.8547,0.8875,0.924,0.9483,0.9083,0.7983,0.9018,0.8651
./evaluation/abalone/datasets/K-IPO/2.csv,1.0,8,4177,5299,0.9186,0.8962,0.8359,0.8875,0.9471,0.9438,0.8993,0.7981,0.9026,0.8651
./evaluation/abalone/datasets/K-IPO/3.csv,1.0,8,4177,5299,0.9181,0.8854,0.8338,0.8754,0.924,0.9449,0.9064,0.7754,0.8902,0.9206
./evaluation/abalone/datasets/K-IPO/4.csv,1.0,8,4177,5299,0.9193,0.8925,0.8447,0.8804,0.9196,0.9442,0.9041,0.7856,0.8959,0.8889
./evaluation/abalone/datasets/K-IPO/5.csv,1.0,8,4177,5299,0.9188,0.9047,0.8625,0.8947,0.9317,0.9483,0.9051,0.8118,0.9081,0.8889
./evaluation/abalone/datasets/K-IPO/6.csv,1.0,8,4177,5299,0.9151,0.8976,0.8362,0.8892,0.9504,0.9477,0.9039,0.8013,0.9043,0.8968
./evaluation/abalone/datasets/K-IPO/7.csv,1.0,8,4177,5299,0.9193,0.9033,0.8619,0.8927,0.9273,0.9508,0.9136,0.8079,0.9063,0.8333
./evaluation/abalone/datasets/K-IPO/8.csv,1.0,8,4177,5299,0.9193,0.8873,0.8242,0.8803,0.9482,0.9433,0.9042,0.7846,0.8949,0.8968
./evaluation/abalone/datasets/K-IPO/9.csv,1.0,8,4177,5299,0.9212,0.8962,0.8554,0.884,0.9152,0.9447,0.8997,0.7923,0.8986,0.8889
./evaluation/abalone/datasets/K-IPO/10.csv,1.0,8,4177,5299,0.9219,0.9009,0.8492,0.8914,0.9394,0.9462,0.8964,0.8054,0.9058,0.8651

./evaluation/abalone/datasets/K-IPO/11.csv,0.9286,5,4177,5299,0.916,0.8943,0.8454,0.8835,0.9262,0.948,0.9067,0.7907,0.8983,88.8889
./evaluation/abalone/datasets/K-IPO/12.csv,0.9286,5,4177,5299,0.9172,0.8953,0.8543,0.8816,0.9108,0.9486,0.9057,0.7892,0.8972,83.3333
./evaluation/abalone/datasets/K-IPO/13.csv,0.9286,5,4177,5299,0.913,0.8887,0.8192,0.8819,0.957,0.9471,0.904,0.7879,0.8973,86.5079
