data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/abalone/datasets/TabDDPM/1.csv,-0.1429,0,4177,5299,0.8358,0.8542,0.8361,0.8284,0.8216,0.9231,0.9277,0.7023,0.8501,0.8095
./evaluation/abalone/datasets/TabDDPM/2.csv,0.0,0,4177,5299,0.882,0.9184,0.9818,0.8965,0.8249,0.9668,0.9659,0.8386,0.9067,0.8333
./evaluation/abalone/datasets/TabDDPM/3.csv,0.0,0,4177,5299,0.9087,0.9415,0.9962,0.927,0.8667,0.9796,0.9784,0.8845,0.9321,0.8016
./evaluation/abalone/datasets/TabDDPM/4.csv,-0.0714,0,4177,5299,0.8202,0.8392,0.8371,0.805,0.7753,0.8959,0.9052,0.6699,0.8311,0.8016
./evaluation/abalone/datasets/TabDDPM/5.csv,0.0714,0,4177,5299,0.8115,0.8377,0.8098,0.8125,0.8183,0.9132,0.9154,0.6716,0.8353,0.8333
./evaluation/abalone/datasets/TabDDPM/6.csv,0.0,0,4177,5299,0.8636,0.8972,0.9504,0.8698,0.8018,0.9406,0.9456,0.7936,0.8852,0.8254
./evaluation/abalone/datasets/TabDDPM/7.csv,-0.1429,0,4177,5299,0.8054,0.8377,0.843,0.8014,0.7643,0.8952,0.9028,0.6674,0.8285,0.8095
./evaluation/abalone/datasets/TabDDPM/8.csv,0.1429,0,4177,5299,0.8589,0.9,0.9637,0.8723,0.7974,0.9394,0.9454,0.8013,0.8871,0.8095
./evaluation/abalone/datasets/TabDDPM/9.csv,-0.1429,0,4177,5299,0.8504,0.8788,0.9084,0.8493,0.7974,0.9304,0.9362,0.7531,0.8686,0.881
./evaluation/abalone/datasets/TabDDPM/10.csv,0.0714,0,4177,5299,0.8278,0.8557,0.8804,0.8201,0.7676,0.913,0.9188,0.7052,0.8446,0.8651
