data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/ai4i2020/datasets/CTGAN/1.csv,0.0667,0,9981,13499,0.9368,0.9652,0.9599,0.9594,0.9589,0.9924,0.9916,0.929,0.9644,0.5873
./evaluation/ai4i2020/datasets/CTGAN/2.csv,0.4667,1,9981,13499,0.9271,0.9578,0.9555,0.9505,0.9455,0.9907,0.9896,0.9137,0.9562,0.6349
./evaluation/ai4i2020/datasets/CTGAN/3.csv,0.2,0,9981,13499,0.8973,0.938,0.9263,0.9277,0.9291,0.9826,0.9812,0.8734,0.9369,0.5873
./evaluation/ai4i2020/datasets/CTGAN/4.csv,0.4667,2,9981,13499,0.9432,0.9669,0.9643,0.9612,0.9581,0.9933,0.9926,0.9323,0.9658,0.6667
./evaluation/ai4i2020/datasets/CTGAN/5.csv,0.2,0,9981,13499,0.9424,0.9696,0.9748,0.9642,0.9538,0.9944,0.9935,0.938,0.9676,0.6667
./evaluation/ai4i2020/datasets/CTGAN/6.csv,-0.0667,0,9981,13499,0.943,0.96,0.9593,0.953,0.9468,0.989,0.9889,0.9183,0.9584,0.5873
./evaluation/ai4i2020/datasets/CTGAN/7.csv,0.3333,2,9981,13499,0.9302,0.9511,0.9563,0.9422,0.9291,0.9879,0.9868,0.9006,0.9484,0.8254
./evaluation/ai4i2020/datasets/CTGAN/8.csv,0.6,1,9981,13499,0.9205,0.95,0.9531,0.9409,0.9291,0.9842,0.984,0.8979,0.9474,0.619
./evaluation/ai4i2020/datasets/CTGAN/9.csv,0.0667,1,9981,13499,0.9335,0.9652,0.9754,0.9587,0.9425,0.9925,0.9918,0.929,0.9624,0.4762
./evaluation/ai4i2020/datasets/CTGAN/10.csv,-0.0667,0,9981,13499,0.9282,0.9607,0.9586,0.954,0.9494,0.992,0.9907,0.9198,0.9593,0.6667
