data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/ai4i2020/datasets/K-IPO/1.csv,1.0,6,9981,13499,0.984,0.9778,0.9649,0.9745,0.9844,0.9955,0.9932,0.9551,0.9786,0.9048
./evaluation/ai4i2020/datasets/K-IPO/2.csv,1.0,6,9981,13499,0.9824,0.9807,0.9723,0.9777,0.9831,0.9958,0.9942,0.9608,0.981,0.8571
./evaluation/ai4i2020/datasets/K-IPO/3.csv,1.0,6,9981,13499,0.9824,0.9811,0.9703,0.9783,0.9866,0.9962,0.9933,0.9618,0.9818,0.9048
./evaluation/ai4i2020/datasets/K-IPO/4.csv,1.0,6,9981,13499,0.9835,0.9789,0.9675,0.9758,0.9844,0.9963,0.9936,0.9574,0.9796,0.8571
./evaluation/ai4i2020/datasets/K-IPO/5.csv,1.0,6,9981,13499,0.9833,0.9826,0.975,0.9799,0.9849,0.9971,0.9955,0.9646,0.9829,0.8571
./evaluation/ai4i2020/datasets/K-IPO/6.csv,1.0,6,9981,13499,0.983,0.9789,0.9703,0.9756,0.981,0.9961,0.9938,0.9571,0.9792,0.8571
./evaluation/ai4i2020/datasets/K-IPO/7.csv,1.0,6,9981,13499,0.9824,0.9828,0.9731,0.9802,0.9875,0.9968,0.9953,0.9652,0.9834,0.9048
./evaluation/ai4i2020/datasets/K-IPO/8.csv,1.0,6,9981,13499,0.983,0.9804,0.9692,0.9774,0.9857,0.996,0.9931,0.9602,0.981,0.8095
./evaluation/ai4i2020/datasets/K-IPO/9.csv,1.0,6,9981,13499,0.9819,0.9822,0.9742,0.9795,0.9849,0.9962,0.9935,0.9639,0.9826,0.8571
./evaluation/ai4i2020/datasets/K-IPO/10.csv,1.0,6,9981,13499,0.982,0.9815,0.974,0.9785,0.9831,0.9967,0.9946,0.9623,0.9817,0.8571
