data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/ai4i2020/datasets/TVAE/1.csv,0.4667,1,9981,13499,0.911,0.9446,0.9221,0.9364,0.9512,0.9854,0.9796,0.8877,0.9454,0.746
./evaluation/ai4i2020/datasets/TVAE/2.csv,0.3333,1,9981,13499,0.915,0.9426,0.9114,0.9348,0.9594,0.9856,0.9798,0.8845,0.9447,0.6349
./evaluation/ai4i2020/datasets/TVAE/3.csv,0.3333,1,9981,13499,0.9059,0.9348,0.9037,0.9258,0.949,0.984,0.9783,0.8686,0.9366,0.7143
./evaluation/ai4i2020/datasets/TVAE/4.csv,0.4667,1,9981,13499,0.9167,0.9478,0.9223,0.9403,0.9589,0.9884,0.9837,0.8944,0.9492,0.6349
./evaluation/ai4i2020/datasets/TVAE/5.csv,0.4667,1,9981,13499,0.9169,0.9515,0.9243,0.9446,0.9659,0.9891,0.9846,0.9022,0.9533,0.6032
./evaluation/ai4i2020/datasets/TVAE/6.csv,0.4667,1,9981,13499,0.916,0.9463,0.9213,0.9385,0.9564,0.9869,0.9815,0.8914,0.9476,0.8571
./evaluation/ai4i2020/datasets/TVAE/7.csv,0.4667,1,9981,13499,0.9054,0.9417,0.9188,0.933,0.9477,0.9855,0.9795,0.8817,0.9424,0.6349
./evaluation/ai4i2020/datasets/TVAE/8.csv,0.4667,1,9981,13499,0.9135,0.9478,0.9251,0.9401,0.9555,0.9882,0.9836,0.8942,0.9487,0.6349
./evaluation/ai4i2020/datasets/TVAE/9.csv,0.4667,1,9981,13499,0.9105,0.9433,0.9135,0.9355,0.9585,0.9867,0.9808,0.8858,0.9452,0.6349
./evaluation/ai4i2020/datasets/TVAE/10.csv,0.4667,1,9981,13499,0.9141,0.9437,0.9162,0.9357,0.9564,0.9865,0.9811,0.8865,0.9453,0.6349
