Time,Length,Flight,Airline,AirportFrom,AirportTo,DayOfWeek,Delay
950.0,228.0,21.0,UA,PIT,DEN,2,0
570.0,144.0,1280.0,DL,ATL,JFK,5,1
697.0,74.0,6239.0,OO,DEN,ABQ,3,0
705.0,160.0,160.0,WN,DEN,SMF,5,0
1345.0,274.0,369.0,CO,LAS,EWR,4,0
370.0,94.0,2614.0,XE,CMH,EWR,6,0
1224.0,91.0,6485.0,OO,PSP,SFO,3,0
1015.0,75.0,1660.0,WN,OAK,LAX,5,1
950.0,56.0,5243.0,EV,ATL,MGM,6,0
1175.0,155.0,840.0,WN,BWI,TPA,5,0
420.0,97.0,5136.0,EV,FAY,ATL,5,0
1035.0,81.0,4035.0,9E,MKE,CVG,4,0
1135.0,37.0,196.0,HA,HNL,OGG,7,0
1310.0,71.0,619.0,US,ONT,PHX,4,1
810.0,42.0,257.0,HA,KOA,HNL,6,0
680.0,136.0,6626.0,OO,DEN,PSP,2,0
445.0,106.0,3929.0,9E,AZO,MSP,1,0
1085.0,86.0,1511.0,US,PHX,LAX,2,0
715.0,199.0,1832.0,CO,IAH,LGA,2,0
600.0,70.0,6372.0,OH,DTW,PIT,6,0
430.0,245.0,1620.0,WN,MDW,PHX,5,0
1145.0,175.0,553.0,AA,RSW,DFW,7,0
815.0,245.0,1370.0,WN,MCI,OAK,7,1
1230.0,130.0,4063.0,9E,JFK,PIT,1,0
1055.0,75.0,1100.0,WN,SDF,MDW,2,1
705.0,195.0,936.0,UA,DEN,IAD,2,0
1182.0,120.0,1681.0,DL,EWR,DTW,3,1
677.0,240.0,480.0,CO,LAS,CLE,5,0
1204.0,76.0,6543.0,OO,IND,ORD,7,0
1295.0,335.0,12.0,CO,HNL,LAX,7,0
1185.0,160.0,546.0,AA,DFW,MIA,6,0
1029.0,126.0,6565.0,OH,SYR,CVG,5,0
611.0,102.0,4529.0,OO,OAK,SLC,4,0
975.0,99.0,2818.0,YV,FAT,PHX,3,0
700.0,159.0,9.0,FL,MCO,SJU,3,0
1045.0,271.0,1634.0,CO,PHX,EWR,7,0
410.0,205.0,374.0,AA,TUS,ORD,7,0
1153.0,327.0,265.0,UA,PIT,LAX,4,1
480.0,173.0,517.0,AS,SNA,SEA,1,0
765.0,205.0,365.0,WN,PHX,MKE,1,1
726.0,29.0,1026.0,YV,LIH,HNL,7,0
1040.0,96.0,203.0,FL,ATL,CAK,4,0
525.0,345.0,253.0,AA,LAX,OGG,3,0
915.0,65.0,4805.0,OO,BOI,SLC,1,0
650.0,170.0,579.0,B6,HPN,PBI,4,0
1110.0,115.0,2909.0,MQ,DFW,TYS,6,0
400.0,82.0,4360.0,9E,LNK,MSP,4,0
705.0,150.0,2842.0,MQ,DFW,FAY,2,0
360.0,104.0,5491.0,EV,OAJ,ATL,5,0
550.0,98.0,1809.0,US,PIT,CLT,5,0
890.0,123.0,720.0,US,MIA,CLT,4,0
670.0,125.0,4310.0,MQ,CLT,ORD,4,0
767.0,76.0,5223.0,EV,TRI,ATL,3,0
450.0,140.0,4105.0,MQ,CLT,ORD,2,0
1022.0,55.0,67.0,AS,KTN,SIT,4,0
450.0,205.0,4771.0,OO,ORD,SLC,4,0
680.0,160.0,3649.0,MQ,MIA,CVG,2,0
866.0,325.0,62.0,UA,LIH,SFO,1,0
730.0,100.0,2024.0,AA,DFW,BNA,1,0
1204.0,111.0,6476.0,OO,LAX,ELP,4,0
1343.0,73.0,6521.0,OO,LAX,SJC,6,0
754.0,110.0,5081.0,EV,XNA,ATL,3,0
995.0,50.0,4144.0,MQ,ORD,CMI,1,0
505.0,113.0,1576.0,US,PBI,CLT,4,0
388.0,57.0,3030.0,XE,CRP,IAH,6,0
640.0,55.0,6683.0,OO,ASE,DEN,1,0
1124.0,121.0,779.0,UA,DEN,LAS,3,0
1310.0,81.0,4479.0,OO,SLC,LAS,4,0
983.0,51.0,6918.0,OO,MTJ,DEN,4,0
425.0,171.0,4471.0,OO,MSP,IAH,5,0
455.0,80.0,5293.0,EV,BQK,ATL,2,0
1260.0,116.0,968.0,FL,ATL,ACY,5,0
1285.0,94.0,6686.0,OO,DEN,BIS,3,0
1066.0,43.0,248.0,HA,HNL,KOA,5,0
1020.0,66.0,4485.0,OO,FAR,MSP,4,0
965.0,165.0,856.0,WN,DEN,SFO,2,0
465.0,71.0,3710.0,9E,SBN,DTW,3,0
1075.0,179.0,2194.0,XE,GSO,IAH,2,0
1007.0,95.0,1596.0,FL,TPA,GPT,7,0
735.0,103.0,7267.0,YV,IAD,IND,5,0
910.0,230.0,2622.0,DL,PHX,DTW,3,0
550.0,100.0,3974.0,MQ,BNA,ORD,3,0
1292.0,164.0,467.0,UA,DEN,SJC,1,0
400.0,70.0,452.0,WN,MAF,DAL,3,0
390.0,170.0,1222.0,FL,PIT,FLL,3,0
419.0,148.0,1630.0,FL,DCA,MCO,7,0
950.0,121.0,717.0,UA,DEN,LAS,3,0
405.0,264.0,1802.0,DL,SNA,ATL,2,0
700.0,109.0,2256.0,XE,AVL,EWR,1,0
655.0,211.0,423.0,DL,ATL,SJU,6,0
1200.0,56.0,5918.0,XE,ORD,LAN,2,0
570.0,190.0,2253.0,AA,ORD,JAC,5,0
930.0,83.0,4062.0,9E,CRW,DTW,7,0
1180.0,151.0,2465.0,DL,MSP,ATL,6,0
1040.0,70.0,642.0,AA,SAT,DFW,5,0
890.0,71.0,1195.0,US,PHX,SAN,5,1
360.0,70.0,478.0,WN,LAS,PHX,1,0
630.0,170.0,2138.0,XE,XNA,EWR,1,0
1001.0,88.0,5409.0,EV,LEX,ATL,3,0
686.0,194.0,2725.0,DL,BOS,MSP,4,0
380.0,220.0,689.0,AA,ORF,DFW,3,0
1139.0,124.0,917.0,FL,BWI,MKE,4,0
1065.0,230.0,567.0,AA,DFW,SFO,6,0
790.0,173.0,156.0,US,PHX,STL,7,0
396.0,51.0,6271.0,OO,ORD,FWA,7,0
1130.0,265.0,2804.0,DL,MSY,LAX,4,0
855.0,132.0,2680.0,XE,ORD,EWR,6,0
1025.0,135.0,4320.0,MQ,OKC,ORD,7,0
600.0,45.0,6266.0,OO,SAN,LAX,4,0
1185.0,150.0,1145.0,CO,ATL,EWR,2,1
1200.0,159.0,2847.0,DL,LGA,ATL,3,0
1195.0,80.0,4032.0,9E,DTW,BUF,5,0
405.0,145.0,265.0,F9,SNA,DEN,2,0
506.0,190.0,6239.0,OO,BHM,DEN,4,0
978.0,119.0,2080.0,XE,ABQ,IAH,3,0
1117.0,178.0,277.0,FL,BOS,ATL,5,0
635.0,145.0,3877.0,MQ,PHL,ORD,3,0
725.0,170.0,2658.0,DL,RSW,BDL,4,0
870.0,105.0,2620.0,WN,PDX,SJC,7,0
480.0,178.0,1610.0,DL,DEN,DTW,6,0
345.0,56.0,4391.0,9E,MBS,DTW,2,0
850.0,215.0,1348.0,AA,BOS,MIA,6,0
515.0,108.0,4774.0,OO,ABQ,SLC,5,0
525.0,165.0,3617.0,MQ,MIA,IND,6,0
370.0,70.0,5194.0,EV,MEI,ATL,1,0
525.0,135.0,1766.0,WN,SLC,SEA,1,0
1270.0,174.0,511.0,F9,DEN,SEA,4,1
375.0,125.0,107.0,WN,MDW,PHL,3,0
1185.0,171.0,152.0,US,PHX,STL,4,0
454.0,156.0,1150.0,FL,IND,RSW,2,0
645.0,200.0,395.0,AA,MIA,DFW,4,0
519.0,96.0,860.0,UA,IAD,BOS,6,0
345.0,113.0,2320.0,DL,PBI,ATL,2,0
655.0,310.0,2556.0,AA,LAS,JFK,1,0
860.0,140.0,3630.0,MQ,BNA,MIA,2,1
949.0,141.0,145.0,F9,HOU,DEN,7,0
1166.0,79.0,1823.0,DL,ATL,JAX,3,0
507.0,81.0,6835.0,OO,LAX,SMF,6,1
1200.0,88.0,1400.0,US,CLT,BNA,1,0
1180.0,70.0,3328.0,MQ,HOU,DFW,5,0
1425.0,289.0,1428.0,DL,LAS,JFK,7,0
370.0,76.0,2933.0,YV,ABQ,PHX,5,0
455.0,90.0,1929.0,AA,SFO,LAX,3,0
620.0,80.0,4198.0,MQ,ORD,CLE,5,0
455.0,134.0,2942.0,DL,ATL,EWR,4,0
987.0,96.0,5303.0,EV,FAY,ATL,4,1
1001.0,175.0,14.0,B6,FLL,JFK,5,1
1020.0,185.0,1787.0,AA,JFK,TPA,5,0
785.0,65.0,971.0,WN,PHL,PVD,3,0
522.0,57.0,6853.0,OO,ORD,CWA,4,0
1190.0,97.0,4562.0,OO,SLC,COS,7,0
965.0,60.0,831.0,WN,PDX,GEG,5,0
410.0,87.0,632.0,US,BUR,PHX,1,0
816.0,144.0,1770.0,CO,MCO,CLE,1,0
491.0,113.0,5915.0,XE,ORD,FAR,3,0
385.0,93.0,3928.0,9E,PIA,DTW,5,0
1205.0,91.0,3872.0,9E,DTW,PIA,2,0
935.0,166.0,638.0,AS,SEA,PHX,3,0
725.0,65.0,808.0,AA,DFW,IAH,4,0
990.0,216.0,463.0,B6,BOS,RSW,1,0
790.0,65.0,1268.0,WN,LAS,SAN,4,0
850.0,53.0,6362.0,OH,HTS,CVG,6,0
825.0,41.0,6944.0,OO,LAX,CLD,3,0
520.0,60.0,5276.0,EV,CHA,ATL,3,0
895.0,183.0,391.0,CO,MIA,IAH,1,1
740.0,97.0,4537.0,OO,PHX,SLC,5,0
950.0,170.0,1918.0,AA,TPA,ORD,7,0
1170.0,40.0,1007.0,YV,HNL,KOA,6,0
420.0,72.0,2602.0,YV,SAV,CLT,2,0
390.0,79.0,2020.0,US,DCA,BOS,5,0
1053.0,157.0,1018.0,CO,RSW,CLE,4,0
1050.0,345.0,247.0,AA,LAX,KOA,3,0
830.0,235.0,560.0,AA,RNO,ORD,6,0
1020.0,233.0,504.0,US,ORD,PHX,5,0
664.0,62.0,425.0,FL,PNS,ATL,1,0
430.0,104.0,5498.0,EV,GSO,ATL,5,0
485.0,70.0,997.0,WN,SAN,PHX,4,0
765.0,285.0,118.0,WN,PHX,MHT,7,0
450.0,224.0,2734.0,DL,RSW,MSP,7,0
930.0,167.0,6651.0,OH,LGA,BNA,3,0
370.0,265.0,1354.0,AA,LAS,MIA,5,0
920.0,165.0,465.0,AS,LAX,SEA,4,1
1150.0,140.0,612.0,F9,DEN,IND,6,0
719.0,244.0,621.0,B6,JFK,HOU,5,0
1168.0,107.0,815.0,UA,OMA,DEN,1,0
430.0,140.0,1650.0,WN,MSY,BWI,6,0
681.0,278.0,1509.0,US,CLT,PHX,2,1
682.0,408.0,177.0,UA,BOS,SFO,4,1
1220.0,114.0,4635.0,OO,SLC,SJC,2,0
725.0,90.0,1936.0,AA,LAX,SFO,3,0
835.0,80.0,1077.0,WN,PVD,BWI,5,0
660.0,70.0,5247.0,EV,BHM,ATL,2,0
1090.0,65.0,582.0,WN,GEG,SEA,1,0
670.0,245.0,739.0,AA,LGA,DFW,2,0
365.0,204.0,2072.0,XE,RIC,IAH,2,0
420.0,250.0,1364.0,AA,LAX,ORD,2,0
695.0,178.0,1054.0,CO,EWR,PBI,4,0
598.0,123.0,1727.0,DL,ATL,FLL,1,0
777.0,293.0,31.0,UA,LAX,IAD,5,0
405.0,107.0,366.0,AS,SEA,SMF,2,0
1160.0,90.0,7134.0,EV,DTW,IAD,3,0
840.0,125.0,3220.0,MQ,PNS,DFW,6,0
1056.0,159.0,994.0,FL,BOS,MKE,2,0
420.0,117.0,231.0,B6,SLC,LGB,7,0
990.0,134.0,26.0,DL,DTW,ATL,3,1
640.0,84.0,3111.0,OO,CAK,MKE,2,0
345.0,270.0,1506.0,DL,LAX,DTW,1,0
971.0,82.0,5359.0,EV,ATL,MOB,3,0
1050.0,62.0,190.0,AS,FAI,ANC,3,0
1040.0,83.0,7134.0,EV,IAD,LGA,1,0
960.0,80.0,4330.0,MQ,CVG,ORD,2,0
985.0,355.0,285.0,AA,LAX,LIH,2,0
990.0,90.0,4060.0,9E,DAL,MEM,1,0
660.0,75.0,2026.0,WN,SJC,SNA,2,1
1155.0,97.0,1962.0,DL,ATL,RIC,2,0
1234.0,108.0,6436.0,OO,LAX,ABQ,7,0
1185.0,165.0,50.0,B6,FLL,JFK,7,0
1071.0,124.0,1007.0,DL,MCI,ATL,1,0
860.0,96.0,3033.0,XE,IAH,AMA,4,0
825.0,41.0,6944.0,OO,LAX,CLD,3,0
810.0,66.0,1384.0,DL,LGA,BOS,6,0
1060.0,168.0,5121.0,EV,ALB,ATL,4,0
695.0,257.0,1754.0,DL,LAX,ATL,6,1
725.0,105.0,4404.0,MQ,JFK,RDU,2,0
1130.0,93.0,6468.0,OH,JFK,BOS,7,0
1111.0,76.0,6816.0,OO,IND,ORD,7,0
362.0,167.0,59.0,UA,DEN,SFO,3,0
1195.0,64.0,2817.0,YV,LAX,LAS,5,0
1095.0,110.0,661.0,AA,MEM,DFW,7,0
360.0,95.0,6316.0,OH,BUF,JFK,6,0
905.0,85.0,4313.0,MQ,CMH,ORD,2,1
875.0,90.0,2020.0,WN,SNA,SMF,4,0
585.0,86.0,1434.0,US,CLT,BWI,1,0
1190.0,135.0,642.0,AA,DFW,CMH,4,0
390.0,164.0,287.0,UA,PVD,ORD,4,1
570.0,234.0,1479.0,DL,MEM,LAS,6,0
565.0,145.0,1841.0,AA,DFW,TUS,7,0
1210.0,123.0,1227.0,B6,BOS,RDU,3,0
370.0,100.0,6770.0,OH,IND,DCA,1,0
990.0,170.0,2938.0,WN,MCO,MDW,6,0
665.0,139.0,1564.0,DL,MSP,DCA,3,0
630.0,235.0,3773.0,WN,PHX,TPA,1,1
875.0,125.0,3668.0,MQ,TYS,MIA,4,0
670.0,125.0,482.0,AA,DFW,IND,1,0
1075.0,120.0,3903.0,MQ,CRW,ORD,5,0
718.0,236.0,393.0,UA,ORD,PHX,2,0
633.0,25.0,65.0,AS,WRG,PSG,3,0
1050.0,255.0,421.0,CO,IAH,SJC,2,0
987.0,41.0,6335.0,OO,SAN,LAX,2,0
1189.0,86.0,7129.0,EV,CVG,ORD,2,0
980.0,75.0,940.0,US,SAN,PHX,7,0
600.0,40.0,3041.0,MQ,LAX,SAN,7,0
1180.0,90.0,2616.0,WN,MCI,DAL,4,0
905.0,156.0,277.0,US,GEG,PHX,6,0
959.0,81.0,4388.0,MQ,JFK,BOS,4,1
603.0,107.0,5204.0,EV,SGF,ATL,4,1
1115.0,125.0,293.0,WN,OAK,SEA,2,0
420.0,150.0,1841.0,AA,SDF,DFW,5,0
658.0,131.0,6890.0,OO,BOI,LAX,7,0
441.0,122.0,5358.0,EV,DTW,STL,3,0
360.0,160.0,707.0,UA,ORD,DEN,4,0
1025.0,76.0,2661.0,YV,BNA,CLT,2,0
1230.0,75.0,4029.0,9E,CVG,GSP,7,0
1050.0,165.0,6636.0,OO,DEN,CLE,7,0
615.0,84.0,4870.0,OO,RNO,SLC,7,0
735.0,145.0,2813.0,MQ,DFW,RAP,4,1
1270.0,70.0,3229.0,MQ,DFW,LBB,3,0
350.0,127.0,1248.0,DL,IAH,ATL,6,0
1250.0,75.0,180.0,WN,SFO,LAX,4,1
500.0,107.0,205.0,UA,BOS,IAD,2,0
615.0,215.0,1371.0,AA,IAD,DFW,1,0
758.0,92.0,2399.0,DL,ATL,RIC,3,0
480.0,144.0,4322.0,9E,BNA,MSP,4,0
919.0,166.0,1282.0,FL,FNT,TPA,6,0
1205.0,55.0,3138.0,WN,SAT,DAL,4,0
465.0,105.0,726.0,AA,ELP,DFW,4,0
760.0,82.0,2866.0,XE,CLE,MKE,4,0
565.0,80.0,945.0,WN,PVD,PHL,7,0
540.0,95.0,1406.0,AA,DFW,HSV,6,0
1160.0,100.0,4051.0,9E,MEM,IAH,4,0
1080.0,135.0,3511.0,WN,SLC,SEA,7,1
1305.0,131.0,1290.0,DL,ATL,DTW,6,0
556.0,314.0,204.0,B6,LGB,JFK,7,0
700.0,77.0,1043.0,DL,CHS,ATL,7,0
480.0,185.0,2802.0,DL,MIA,DTW,3,0
465.0,292.0,970.0,UA,SAN,IAD,3,0
600.0,65.0,1860.0,AA,MIA,MCO,7,1
1037.0,264.0,519.0,UA,MSP,SFO,7,0
360.0,280.0,528.0,AA,LAX,MIA,2,0
1168.0,121.0,6711.0,OO,DEN,PIA,3,0
640.0,95.0,2746.0,MQ,BRO,DFW,2,0
735.0,215.0,1569.0,WN,STL,PHX,4,1
510.0,63.0,5111.0,EV,ATL,BHM,4,0
645.0,180.0,3808.0,MQ,ORD,ABQ,1,0
540.0,89.0,2079.0,XE,IAH,MAF,1,0
895.0,105.0,2763.0,MQ,DFW,MGM,5,0
445.0,140.0,2324.0,AA,DFW,ORD,4,0
865.0,91.0,8.0,B6,JFK,BUF,6,0
900.0,95.0,614.0,WN,IND,BWI,2,1
625.0,276.0,1061.0,DL,LAX,MCO,1,1
1135.0,32.0,1019.0,YV,OGG,HNL,3,0
1240.0,122.0,2397.0,XE,CLE,MSP,2,0
845.0,60.0,2783.0,MQ,DFW,FSM,3,0
450.0,195.0,3743.0,WN,BOS,STL,5,0
645.0,200.0,395.0,AA,MIA,DFW,7,0
805.0,199.0,2518.0,XE,EWR,OMA,4,0
500.0,170.0,1303.0,AA,TPA,DFW,1,0
535.0,125.0,4582.0,MQ,LGA,CLT,4,0
380.0,88.0,4052.0,9E,DAL,MEM,5,0
647.0,157.0,490.0,AS,SEA,SAN,1,0
651.0,125.0,6497.0,OO,DEN,LIT,2,0
825.0,169.0,1155.0,CO,PBI,EWR,6,0
540.0,80.0,4244.0,MQ,DSM,ORD,2,0
1300.0,101.0,1327.0,DL,DTW,BDL,3,1
580.0,284.0,1767.0,CO,IAH,SEA,5,0
775.0,71.0,2811.0,XE,IAH,MOB,6,0
900.0,147.0,2749.0,YV,SAT,PHX,7,0
1100.0,80.0,48.0,WN,BWI,MHT,7,0
610.0,375.0,297.0,WN,MHT,LAS,4,0
1215.0,100.0,1228.0,B6,RDU,BOS,3,1
620.0,75.0,1458.0,WN,SMF,ONT,3,0
955.0,145.0,3012.0,MQ,LAX,DEN,4,0
1055.0,54.0,5024.0,EV,ATL,AGS,2,0
1140.0,75.0,240.0,WN,BUR,SMF,1,0
415.0,230.0,1653.0,DL,MSP,SEA,1,0
636.0,196.0,2521.0,DL,LGA,RSW,6,0
1125.0,120.0,2042.0,WN,PHX,SMF,6,0
740.0,190.0,2847.0,MQ,CHS,DFW,2,0
760.0,95.0,4228.0,MQ,ORD,SGF,2,0
480.0,81.0,5262.0,EV,BHM,ATL,2,0
435.0,190.0,338.0,CO,EWR,MIA,4,0
433.0,123.0,7038.0,OO,MSO,DEN,1,0
725.0,250.0,556.0,AA,SAN,ORD,5,0
1222.0,45.0,6752.0,OO,DEN,ASE,7,0
845.0,355.0,1299.0,DL,LAX,KOA,3,0
779.0,51.0,873.0,US,CLT,ILM,5,0
1085.0,181.0,1069.0,US,PHL,RSW,4,0
539.0,74.0,6546.0,OO,MFR,PDX,4,0
1260.0,69.0,2188.0,US,DCA,LGA,7,0
695.0,149.0,2436.0,XE,JAX,IAH,4,0
760.0,170.0,2026.0,AA,SNA,DFW,2,0
375.0,114.0,2535.0,XE,SDF,EWR,3,0
440.0,106.0,3738.0,9E,DTW,GSP,3,0
1195.0,153.0,596.0,US,PHX,MCI,3,0
930.0,65.0,1980.0,WN,LAX,SJC,3,0
772.0,128.0,2460.0,DL,ATL,ROC,1,0
980.0,300.0,1167.0,DL,ATL,SNA,3,0
1135.0,98.0,6640.0,OH,DCA,BOS,7,0
550.0,70.0,5463.0,EV,ECP,ATL,3,0
756.0,95.0,128.0,FL,TPA,ATL,4,0
445.0,210.0,6623.0,OH,LGA,MCI,3,0
755.0,100.0,185.0,US,RNO,PHX,1,0
1295.0,117.0,1628.0,DL,ATL,MDW,2,0
1258.0,101.0,2751.0,YV,PHX,SBP,6,0
810.0,72.0,1387.0,DL,BOS,LGA,4,0
755.0,76.0,569.0,US,SAN,PHX,4,0
670.0,163.0,593.0,B6,HPN,MCO,5,1
640.0,147.0,1448.0,CO,IAH,FLL,5,0
