data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/airlines/datasets/K-IPO/1.csv,1.0,7,16427,21026,0.8221,0.8121,0.7861,0.7815,0.777,0.8742,0.8435,0.6167,0.8078,0.7905
./evaluation/airlines/datasets/K-IPO/2.csv,0.9048,5,16427,20907,0.8106,0.8046,0.7678,0.7777,0.7885,0.8654,0.8309,0.6041,0.8026,0.7905
./evaluation/airlines/datasets/K-IPO/3.csv,0.9048,5,16427,20907,0.8073,0.8071,0.7621,0.7848,0.81,0.8668,0.8279,0.6121,0.8075,0.7524
./evaluation/airlines/datasets/K-IPO/4.csv,1.0,7,16427,21026,0.8347,0.8192,0.7829,0.7989,0.8172,0.8825,0.8531,0.6365,0.8189,0.7333
./evaluation/airlines/datasets/K-IPO/5.csv,1.0,7,16427,21026,0.8539,0.8314,0.8045,0.8073,0.8106,0.8916,0.8632,0.6578,0.8289,0.7714
./evaluation/airlines/datasets/K-IPO/6.csv,0.9048,5,16427,20907,0.8235,0.8055,0.7763,0.7703,0.7645,0.8647,0.8308,0.6017,0.8004,0.7714
./evaluation/airlines/datasets/K-IPO/7.csv,0.9048,5,16427,20907,0.8178,0.8051,0.7601,0.7829,0.8083,0.8663,0.825,0.6082,0.8055,0.7333
./evaluation/airlines/datasets/K-IPO/8.csv,0.9048,5,16427,20907,0.8222,0.8056,0.7681,0.7845,0.8055,0.8722,0.8369,0.611,0.8056,0.7714
./evaluation/airlines/datasets/K-IPO/9.csv,1.0,7,16427,21026,0.8224,0.8166,0.7843,0.7886,0.793,0.8754,0.8425,0.6267,0.8137,0.7905
./evaluation/airlines/datasets/K-IPO/10.csv,1.0,7,16427,21026,0.8389,0.8244,0.7964,0.8004,0.8053,0.8851,0.8565,0.6443,0.8221,0.8
