data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/airlines/datasets/TabDDPM/1.csv,-0.2381,0,16427,20907,0.9015,0.9413,0.9997,0.9265,0.8633,0.9462,0.9565,0.8846,0.9315,0.7238
./evaluation/airlines/datasets/TabDDPM/2.csv,-0.4286,0,16427,20907,0.9016,0.9412,1.0,0.9263,0.8627,0.9466,0.957,0.8844,0.9314,0.6857
./evaluation/airlines/datasets/TabDDPM/3.csv,-0.1429,0,16427,20907,0.9031,0.9409,0.9981,0.9261,0.8638,0.9449,0.9558,0.8837,0.9313,0.7238
./evaluation/airlines/datasets/TabDDPM/4.csv,-0.1429,0,16427,20907,0.9036,0.9411,0.9997,0.9262,0.8627,0.9446,0.9555,0.8842,0.9313,0.6857
./evaluation/airlines/datasets/TabDDPM/5.csv,-0.4286,0,16427,20907,0.9018,0.9414,0.9997,0.9266,0.8636,0.9468,0.9569,0.8848,0.9317,0.7333
./evaluation/airlines/datasets/TabDDPM/6.csv,-0.619,0,16427,20907,0.9019,0.9415,1.0,0.9268,0.8636,0.9455,0.956,0.8851,0.9318,0.7905
./evaluation/airlines/datasets/TabDDPM/7.csv,-0.1429,0,16427,20907,0.9018,0.9414,1.0,0.9266,0.8633,0.9476,0.9574,0.8849,0.9316,0.7143
./evaluation/airlines/datasets/TabDDPM/8.csv,-0.1429,0,16427,20907,0.9032,0.9411,0.9987,0.9262,0.8636,0.9453,0.956,0.884,0.9314,0.781
./evaluation/airlines/datasets/TabDDPM/9.csv,-0.3333,0,16427,20907,0.9018,0.9414,1.0,0.9266,0.8633,0.9466,0.9567,0.8849,0.9316,0.781
./evaluation/airlines/datasets/TabDDPM/10.csv,-0.2381,0,16427,20907,0.9019,0.9413,0.9997,0.9265,0.8633,0.9452,0.956,0.8846,0.9315,0.7333
