data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/bank-marketing/datasets/CTGAN/1.csv,0.3667,0,4521,5598,0.7675,0.9067,0.8827,0.8922,0.9021,0.9673,0.9657,0.8102,0.9061,0.4667
./evaluation/bank-marketing/datasets/CTGAN/2.csv,0.5,1,4521,5598,0.8419,0.9241,0.9535,0.9076,0.8667,0.9714,0.9699,0.8467,0.9169,0.5143
./evaluation/bank-marketing/datasets/CTGAN/3.csv,0.35,0,4521,5598,0.799,0.9013,0.8893,0.8842,0.8792,0.9614,0.9585,0.7983,0.8986,0.4762
./evaluation/bank-marketing/datasets/CTGAN/4.csv,0.1333,0,4521,5598,0.7441,0.9138,0.9163,0.8973,0.8792,0.9641,0.9645,0.8237,0.9095,0.4857
./evaluation/bank-marketing/datasets/CTGAN/5.csv,0.3167,1,4521,5598,0.7814,0.9116,0.9407,0.8913,0.8469,0.9608,0.9604,0.8204,0.9035,0.419
./evaluation/bank-marketing/datasets/CTGAN/6.csv,0.2167,1,4521,5598,0.8292,0.9134,0.9058,0.8979,0.8906,0.9715,0.9696,0.8231,0.9105,0.4571
./evaluation/bank-marketing/datasets/CTGAN/7.csv,0.25,1,4521,5598,0.8551,0.925,0.9412,0.9096,0.8802,0.9748,0.9728,0.8471,0.9194,0.5048
./evaluation/bank-marketing/datasets/CTGAN/8.csv,0.35,1,4521,5598,0.8321,0.9192,0.9312,0.9028,0.876,0.9725,0.9708,0.8349,0.9138,0.5048
./evaluation/bank-marketing/datasets/CTGAN/9.csv,0.2333,0,4521,5598,0.7914,0.9098,0.9218,0.8919,0.8646,0.9669,0.9652,0.8164,0.9042,0.4571
./evaluation/bank-marketing/datasets/CTGAN/10.csv,0.3667,1,4521,5598,0.8414,0.9152,0.9108,0.9003,0.8906,0.9719,0.9702,0.8271,0.9121,0.5238
