data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/bank-marketing/datasets/K-IPO/1.csv,0.8333,8,4521,5598,0.9075,0.9219,0.9067,0.9089,0.9115,0.9707,0.9623,0.8408,0.9206,0.4762
./evaluation/bank-marketing/datasets/K-IPO/2.csv,0.9,9,4521,5598,0.91,0.9219,0.9266,0.9071,0.8885,0.97,0.9604,0.8404,0.9177,0.4667
./evaluation/bank-marketing/datasets/K-IPO/3.csv,0.8333,8,4521,5598,0.906,0.9201,0.9143,0.906,0.8979,0.9695,0.9577,0.8367,0.9173,0.4476
./evaluation/bank-marketing/datasets/K-IPO/4.csv,0.8333,8,4521,5598,0.9096,0.9098,0.9055,0.8937,0.8823,0.9664,0.9534,0.8157,0.9064,0.5143
./evaluation/bank-marketing/datasets/K-IPO/5.csv,0.8167,9,4521,5598,0.9082,0.9241,0.9369,0.9088,0.8823,0.9705,0.9645,0.845,0.9189,0.4381
./evaluation/bank-marketing/datasets/K-IPO/6.csv,0.8167,8,4521,5598,0.9051,0.9179,0.8895,0.9063,0.924,0.9703,0.9622,0.8339,0.9186,0.4667
./evaluation/bank-marketing/datasets/K-IPO/7.csv,0.8333,8,4521,5598,0.9053,0.925,0.9296,0.9111,0.8938,0.9695,0.958,0.8471,0.9211,0.4952
./evaluation/bank-marketing/datasets/K-IPO/8.csv,0.85,8,4521,5598,0.9082,0.9214,0.9074,0.9093,0.9125,0.97,0.9577,0.841,0.9203,0.4667
./evaluation/bank-marketing/datasets/K-IPO/9.csv,0.85,8,4521,5598,0.9055,0.9161,0.9032,0.9024,0.9021,0.9675,0.9579,0.8291,0.9143,0.4762
./evaluation/bank-marketing/datasets/K-IPO/10.csv,0.8333,10,4521,5598,0.9033,0.9112,0.8906,0.8976,0.9052,0.9679,0.9562,0.8196,0.9104,0.5048
