data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/bank-marketing/datasets/SMOTENC/1.csv,0.6833,2,4521,5598,0.8912,0.9,0.8532,0.8881,0.926,0.9609,0.9392,0.8002,0.9033,0.419
./evaluation/bank-marketing/datasets/SMOTENC/2.csv,0.75,2,4521,5598,0.8975,0.9018,0.8571,0.8901,0.926,0.9623,0.943,0.8037,0.9048,0.419
./evaluation/bank-marketing/datasets/SMOTENC/3.csv,0.7,2,4521,5598,0.8939,0.908,0.8778,0.8948,0.9125,0.9632,0.9453,0.8136,0.9086,0.4571
./evaluation/bank-marketing/datasets/SMOTENC/4.csv,0.6833,2,4521,5598,0.8939,0.9009,0.8644,0.8873,0.9115,0.9622,0.9488,0.7999,0.9022,0.4571
./evaluation/bank-marketing/datasets/SMOTENC/5.csv,0.7,2,4521,5598,0.8935,0.8978,0.8548,0.8859,0.9208,0.9631,0.949,0.7964,0.9007,0.419
./evaluation/bank-marketing/datasets/SMOTENC/6.csv,0.6833,2,4521,5598,0.8948,0.8991,0.8503,0.8881,0.9302,0.9597,0.9406,0.7999,0.903,0.4762
./evaluation/bank-marketing/datasets/SMOTENC/7.csv,0.6167,2,4521,5598,0.8937,0.9045,0.8824,0.8902,0.899,0.9603,0.9396,0.8064,0.9038,0.4571
./evaluation/bank-marketing/datasets/SMOTENC/8.csv,0.7,2,4521,5598,0.8924,0.9062,0.8661,0.894,0.924,0.9659,0.9534,0.8116,0.9085,0.4286
./evaluation/bank-marketing/datasets/SMOTENC/9.csv,0.7333,2,4521,5598,0.8917,0.9058,0.8894,0.8904,0.8917,0.9624,0.9422,0.808,0.904,0.4667
./evaluation/bank-marketing/datasets/SMOTENC/10.csv,0.6833,2,4521,5598,0.8939,0.9009,0.8644,0.8873,0.9115,0.9622,0.9488,0.7999,0.9022,0.4571
