data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/bank-marketing/datasets/TabDDPM/1.csv,0.2667,1,4521,5598,0.9024,0.9263,0.9462,0.9108,0.8781,0.9731,0.9725,0.8501,0.9203,0.4762
./evaluation/bank-marketing/datasets/TabDDPM/2.csv,0.35,1,4521,5598,0.9038,0.9232,0.9435,0.9068,0.874,0.9727,0.9718,0.8442,0.9171,0.4952
./evaluation/bank-marketing/datasets/TabDDPM/3.csv,0.2333,0,4521,5598,0.9064,0.9214,0.9417,0.9048,0.8719,0.9704,0.9702,0.8407,0.9152,0.4952
./evaluation/bank-marketing/datasets/TabDDPM/4.csv,0.1,1,4521,5598,0.8993,0.9201,0.9206,0.9055,0.8917,0.9738,0.9728,0.8372,0.9165,0.4762
./evaluation/bank-marketing/datasets/TabDDPM/5.csv,0.3833,1,4521,5598,0.9006,0.9237,0.9488,0.907,0.8688,0.9713,0.9711,0.8449,0.9168,0.4952
./evaluation/bank-marketing/datasets/TabDDPM/6.csv,0.3333,1,4521,5598,0.9022,0.9183,0.9078,0.9044,0.901,0.9712,0.9712,0.8331,0.9161,0.4476
./evaluation/bank-marketing/datasets/TabDDPM/7.csv,0.3333,1,4521,5598,0.9049,0.9246,0.94,0.909,0.8802,0.9719,0.9715,0.8461,0.919,0.5048
./evaluation/bank-marketing/datasets/TabDDPM/8.csv,0.2667,1,4521,5598,0.9035,0.9272,0.9673,0.91,0.8594,0.9733,0.9722,0.8537,0.9188,0.5619
./evaluation/bank-marketing/datasets/TabDDPM/9.csv,0.1333,0,4521,5598,0.9078,0.9223,0.9233,0.9081,0.8938,0.9728,0.9724,0.8415,0.9188,0.4762
./evaluation/bank-marketing/datasets/TabDDPM/10.csv,0.3167,0,4521,5598,0.9046,0.9201,0.9117,0.9063,0.901,0.9731,0.9726,0.8367,0.9177,0.4762
