shap,sofi,GAMINet
a2pop,b2x,a1pop
a3sx,b1eff,a2pop
a1pop,a3sy,a3sx
b2y,a2cy,b2y
a2sy,b1y,a1sy
a1sy,a1sy,a3cx
a3pop,a3cy,a3pop
a3cx,a3pop,mxql
b1eff,b3eff,b1eff
a2cx,a2cx,a3cy
a3sy,temp,a1cy
b1y,a1cx,b1x
mxql,a2rho,a2cy
b3x,b2call,a1rho
a2cy,a1sx,b1y
a1cx,a3sx,b3call
a1cy,b2y,a1cx
b3call,a2sx,b1call
a3cy,b1x,b3x
b1x,mxql,a2cx
b3y,a3rho,b3eff
b2x,b3y,b2eff
b2eff,a3cx,b2call
b1call,b2eff,a2sy
a1rho,a1rho,a3rho
a2rho,a2pop,temp
a1sx,b3x,b2x
b3eff,a1pop,b3y
a3rho,b1call,a2rho
b2call,a2sy,a1sx
temp,b3call,a2sx
a2sx,a1cy,a3sy
