shap,sofi,GAMINet
b1call,b1x,b1call
b3call,a3sy,a2pop
a2pop,b3eff,a1pop
b2call,b2x,a3pop
a3pop,a3pop,b3call
a1pop,a1rho,mxql
mxql,a3rho,b2call
temp,b1call,temp
a2rho,b2y,b1eff
b1eff,a2sy,b2y
b3x,a3cx,b3x
b2y,a1cy,a3sy
b2x,b1eff,a1sy
a1sy,b1y,a2sx
a1rho,a2sx,a1rho
a3cy,b3y,b1y
b3y,a2pop,a2rho
b3eff,a1sy,b2eff
a2sx,b3call,b2x
a3rho,b3x,b1x
a3sx,mxql,a2cy
a3cx,a1cx,a1cy
a1cy,a3cy,a1sx
b1y,a3sx,b3y
b2eff,a2cx,a2cx
a1sx,temp,a2sy
a2cy,b2call,a3cx
a3sy,a1pop,a3cy
a1cx,a2rho,a3sx
a2sy,a1sx,b3eff
b1x,a2cy,a3rho
a2cx,b2eff,a1cx
