shap,sofi,GAMINet
a2pop,b2eff,a2pop
a1pop,a1pop,a1pop
a3pop,b1call,a3pop
mxql,b1eff,mxql
b1eff,a3pop,b3call
temp,a1sx,b3x
a2rho,a2cy,temp
b3x,a2sy,b1eff
a2cx,a3sx,a2rho
b3call,b3eff,b2call
a1sy,a3rho,a2sx
a3cy,a1cx,b2y
b2y,b2x,a1cy
a1rho,a2pop,a2cy
a3rho,b3call,b1x
b2x,b1x,a3sy
b3eff,a3sy,b1y
a3cx,a1cy,b3eff
a2sy,b2y,a1sy
a2sx,b3y,a3sx
b1x,b2call,a3cy
b1y,b3x,b2x
a3sy,a2sx,a2sy
a3sx,a3cy,a3cx
b2eff,a2cx,b1call
a1sx,mxql,a3rho
a2cy,temp,a1rho
a1cx,a1rho,a2cx
a1cy,a2rho,b3y
b2call,a3cx,b2eff
b3y,b1y,a1sx
b1call,a1sy,a1cx
