shap,sofi,GAMINet
a2pop,a3cx,a2pop
a1pop,a1pop,a1pop
a3pop,b2eff,a3pop
mxql,a2sy,mxql
b3call,mxql,b1eff
b1call,a1cy,b3call
b2call,temp,b2call
b1eff,b1x,temp
a2sy,b3eff,b1x
temp,b3y,a3sx
a2cy,a3pop,a2rho
b2x,a1cx,b1call
a2sx,b3call,a3cx
b1y,a3sx,a1sy
b2eff,b1y,a2cx
b1x,b2x,b2eff
a3sy,a3sy,b1y
a1sy,a1sx,a3cy
a3cy,a1rho,a3sy
a2cx,a2sx,a2cy
a3cx,a3cy,b3x
a1sx,a2cx,b3eff
a1cy,a2cy,b2x
b3x,b2y,a3rho
a2rho,b3x,a1rho
a1rho,a2pop,a2sx
b3eff,a3rho,a2sy
a3rho,b2call,b3y
a1cx,b1call,a1cy
a3sx,b1eff,a1cx
b2y,a2rho,b2y
b3y,a1sy,a1sx
