shap,sofi,GAMINet
a2sx,a3rho,a2pop
a2sy,b2eff,mxql
temp,a1rho,a1pop
a2rho,a2sx,b1eff
b1eff,temp,a2sx
a1sx,b1call,temp
a3sy,a2pop,a2rho
a3sx,a2rho,a3pop
mxql,a1cy,a1sy
a3cx,a2cy,a3sx
a2cy,b1x,b3call
b1y,b1y,b1y
a2pop,b1eff,a2sy
a1sy,a3sx,b2y
b2y,a1pop,b3x
a1pop,a3cx,b3eff
b3eff,b3y,a3sy
b2call,b3call,a3cx
a3pop,a3cy,a2cy
b1x,a2sy,a1sx
b3call,a3sy,b2x
b3x,mxql,a3rho
a1cy,a3pop,a1cy
a2cx,b2x,a1cx
a1cx,a1sy,b1call
a3rho,b3x,b1x
a1rho,b2y,b3y
b1call,a1sx,a3cy
b3y,b2call,a1rho
b2x,b3eff,b2eff
a3cy,a2cx,a2cx
b2eff,a1cx,b2call
