shap,sofi,GAMINet
a2pop,b1call,a2pop
a1pop,b3x,a1pop
mxql,mxql,a3pop
a3pop,a2cx,mxql
b1eff,a2rho,a2sy
b1call,a1cy,b1eff
a2sy,a1pop,b1call
a2sx,temp,a1sy
temp,a3pop,b2call
a3sy,b1eff,b3call
b3x,b2y,a2rho
b2x,a1cx,a1rho
a2rho,a3sx,b3x
a3cy,b3eff,b2eff
b3call,a2sx,b2y
a1sy,a3cx,b2x
b2y,a1sy,b3eff
b2call,a1sx,b1y
a3sx,b3y,b1x
b3eff,b2eff,temp
a2cx,a2pop,a3rho
b3y,a2sy,a1cx
b1y,a1rho,a3sx
a2cy,b3call,a3cy
a1rho,a3rho,a3sy
b2eff,b2x,a2sx
a3rho,b2call,a2cy
a1cy,a3cy,a3cx
a3cx,a3sy,a1cy
a1sx,b1y,a1sx
b1x,b1x,b3y
a1cx,a2cy,a2cx
