data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/bank32nh/datasets/TVAE/1.csv,0.2056,0,6213,7908,0.8696,0.926,0.929,0.9122,0.896,0.972,0.9718,0.8488,0.9223,0.2063
./evaluation/bank32nh/datasets/TVAE/2.csv,0.2258,0,6213,7908,0.8585,0.9302,0.9312,0.9173,0.9041,0.9715,0.9715,0.8574,0.9269,0.2222
./evaluation/bank32nh/datasets/TVAE/3.csv,0.0847,0,6213,7908,0.8696,0.9324,0.9379,0.9195,0.9019,0.9728,0.973,0.8618,0.9286,0.1746
./evaluation/bank32nh/datasets/TVAE/4.csv,0.1774,0,6213,7908,0.8543,0.9235,0.9383,0.9079,0.8798,0.9713,0.971,0.8442,0.918,0.2857
./evaluation/bank32nh/datasets/TVAE/5.csv,0.125,0,6213,7908,0.8678,0.9302,0.9433,0.9162,0.8909,0.9744,0.9739,0.8576,0.9252,0.2063
./evaluation/bank32nh/datasets/TVAE/6.csv,0.2258,0,6213,7908,0.8762,0.9311,0.9413,0.9176,0.8953,0.9748,0.9742,0.8594,0.9266,0.1429
./evaluation/bank32nh/datasets/TVAE/7.csv,0.1653,0,6213,7908,0.858,0.9264,0.9175,0.9137,0.91,0.9715,0.9719,0.8495,0.9243,0.2381
./evaluation/bank32nh/datasets/TVAE/8.csv,0.0685,0,6213,7908,0.8746,0.9311,0.9473,0.917,0.8886,0.9746,0.974,0.8595,0.9258,0.2063
./evaluation/bank32nh/datasets/TVAE/9.csv,0.1129,0,6213,7908,0.8789,0.9327,0.9294,0.9207,0.9122,0.9756,0.9752,0.8624,0.9301,0.2381
./evaluation/bank32nh/datasets/TVAE/10.csv,0.1411,0,6213,7908,0.8622,0.9276,0.9216,0.915,0.9086,0.9737,0.9736,0.8521,0.9252,0.2063
