data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/bank32nh/datasets/TabDDPM/1.csv,0.1492,2,6213,7908,0.6978,0.8537,0.835,0.8277,0.8208,0.9226,0.9177,0.7008,0.8496,0.3175
./evaluation/bank32nh/datasets/TabDDPM/2.csv,0.3387,0,6213,7908,0.7207,0.8657,0.8524,0.8412,0.8304,0.9309,0.9299,0.7251,0.8613,0.381
./evaluation/bank32nh/datasets/TabDDPM/3.csv,0.2298,3,6213,7908,0.6666,0.8271,0.7876,0.8017,0.8171,0.9061,0.8935,0.6495,0.8259,0.381
./evaluation/bank32nh/datasets/TabDDPM/4.csv,0.0524,0,6213,7908,0.693,0.8417,0.8419,0.8083,0.778,0.9086,0.9042,0.6758,0.8337,0.3492
./evaluation/bank32nh/datasets/TabDDPM/5.csv,0.129,1,6213,7908,0.6921,0.8442,0.8313,0.815,0.8001,0.9118,0.9088,0.6814,0.8387,0.2857
./evaluation/bank32nh/datasets/TabDDPM/6.csv,0.2661,1,6213,7908,0.6905,0.8388,0.7932,0.8179,0.8444,0.9266,0.9158,0.6747,0.8395,0.3175
./evaluation/bank32nh/datasets/TabDDPM/7.csv,0.5363,2,6213,7908,0.6407,0.8132,0.787,0.7802,0.7736,0.8832,0.8713,0.6179,0.8083,0.3651
./evaluation/bank32nh/datasets/TabDDPM/8.csv,0.1089,0,6213,7908,0.7012,0.8287,0.7994,0.8017,0.806,0.9079,0.9025,0.6523,0.8259,0.4127
./evaluation/bank32nh/datasets/TabDDPM/9.csv,0.2702,1,6213,7908,0.6397,0.8069,0.7712,0.7764,0.7817,0.8766,0.8569,0.6066,0.8037,0.4127
./evaluation/bank32nh/datasets/TabDDPM/10.csv,0.0242,0,6213,7908,0.736,0.8685,0.8782,0.8403,0.806,0.9281,0.927,0.7312,0.8607,0.3492
