state,account_length,phone_number,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,area_code,international_plan,voice_mail_plan,class
20.0,106.0,4259.0,0.0,213.9,95.0,36.36,151.9,70.0,12.91,260.1,124.0,11.7,12.2,5.0,3.29,3.0,510.0,0.0,0.0,0
41.0,106.0,3152.0,27.0,223.3,97.0,37.96,212.5,131.0,18.06,154.6,149.0,6.96,11.6,2.0,3.13,1.0,408.0,0.0,1.0,0
47.0,84.0,2095.0,0.0,289.1,100.0,49.15,233.8,97.0,19.87,223.5,148.0,10.06,12.7,2.0,3.43,2.0,415.0,0.0,0.0,1
35.0,86.0,1534.0,29.0,225.4,79.0,38.32,187.1,112.0,15.9,281.1,112.0,12.65,12.9,3.0,3.48,1.0,415.0,0.0,1.0,0
15.0,104.0,1931.0,44.0,163.2,69.0,27.74,271.7,107.0,23.09,175.6,109.0,7.9,9.9,2.0,2.67,3.0,510.0,0.0,1.0,0
17.0,114.0,1862.0,0.0,204.4,91.0,34.75,239.6,136.0,20.37,235.0,64.0,10.58,11.5,3.0,3.11,2.0,408.0,0.0,0.0,0
14.0,118.0,1921.0,0.0,103.6,107.0,17.61,82.0,149.0,6.97,169.5,103.0,7.63,6.6,6.0,1.78,0.0,415.0,0.0,0.0,0
21.0,99.0,1058.0,0.0,222.4,102.0,37.81,185.8,89.0,15.79,237.7,81.0,10.7,12.0,8.0,3.24,2.0,415.0,0.0,0.0,0
30.0,116.0,1932.0,0.0,215.6,127.0,36.65,105.5,110.0,8.97,291.7,80.0,13.13,11.2,7.0,3.02,3.0,415.0,0.0,0.0,0
39.0,53.0,4983.0,18.0,146.8,107.0,24.96,310.0,84.0,26.35,178.7,130.0,8.04,7.2,7.0,1.94,0.0,408.0,0.0,1.0,0
8.0,120.0,3910.0,0.0,253.2,95.0,43.04,210.8,86.0,17.92,253.9,81.0,11.43,9.5,4.0,2.57,5.0,415.0,0.0,0.0,1
