shap,sofi,GAMINet
total_intl_calls,number_customer_service_calls,total_eve_charge
number_vmail_messages,total_intl_minutes,total_eve_minutes
number_customer_service_calls,total_intl_charge,number_customer_service_calls
total_day_charge,total_intl_calls,total_day_charge
total_eve_charge,total_day_minutes,total_intl_calls
total_day_calls,total_night_charge,international_plan
international_plan,total_night_calls,total_night_minutes
total_day_minutes,total_night_minutes,total_night_charge
total_eve_calls,voice_mail_plan,total_day_minutes
voice_mail_plan,state,number_vmail_messages
total_eve_minutes,total_eve_calls,total_eve_calls
total_night_charge,area_code,total_intl_minutes
total_intl_charge,account_length,total_day_calls
phone_number,total_eve_charge,account_length
state,total_eve_minutes,voice_mail_plan
total_night_minutes,phone_number,phone_number
total_intl_minutes,total_day_calls,total_intl_charge
account_length,international_plan,state
total_night_calls,total_day_charge,total_night_calls
area_code,number_vmail_messages,area_code
