shap,sofi,GAMINet
number_customer_service_calls,total_day_calls,total_day_minutes
number_vmail_messages,phone_number,total_day_charge
total_day_charge,total_intl_calls,total_eve_charge
international_plan,state,total_eve_minutes
voice_mail_plan,total_eve_minutes,total_intl_charge
total_day_minutes,international_plan,total_intl_minutes
total_intl_calls,total_eve_calls,total_night_charge
total_eve_charge,total_day_charge,total_night_minutes
total_intl_minutes,area_code,number_customer_service_calls
total_eve_minutes,total_day_minutes,international_plan
total_intl_charge,total_eve_charge,number_vmail_messages
total_night_minutes,total_intl_minutes,total_intl_calls
total_night_charge,number_vmail_messages,area_code
total_day_calls,total_night_calls,account_length
state,total_intl_charge,phone_number
total_eve_calls,total_night_minutes,voice_mail_plan
phone_number,number_customer_service_calls,total_day_calls
total_night_calls,total_night_charge,total_eve_calls
account_length,account_length,total_night_calls
area_code,voice_mail_plan,state
