shap,sofi,GAMINet
number_customer_service_calls,voice_mail_plan,total_day_minutes
total_day_charge,total_night_calls,total_day_charge
total_day_minutes,total_intl_charge,total_eve_charge
international_plan,total_day_calls,total_eve_minutes
total_intl_calls,state,total_night_charge
voice_mail_plan,international_plan,total_night_minutes
total_eve_charge,total_day_minutes,total_intl_minutes
total_eve_minutes,total_eve_charge,total_intl_charge
total_intl_minutes,total_eve_calls,voice_mail_plan
total_intl_charge,total_night_charge,number_vmail_messages
total_night_minutes,total_eve_minutes,number_customer_service_calls
area_code,total_night_minutes,international_plan
number_vmail_messages,area_code,state
total_night_charge,total_intl_minutes,area_code
state,total_day_charge,account_length
account_length,number_customer_service_calls,total_intl_calls
total_eve_calls,phone_number,total_night_calls
total_day_calls,total_intl_calls,total_day_calls
phone_number,number_vmail_messages,total_eve_calls
total_night_calls,account_length,phone_number
