shap,sofi,GAMINet
number_customer_service_calls,total_night_charge,total_day_minutes
total_day_charge,total_eve_charge,total_day_charge
total_day_minutes,total_night_calls,total_eve_charge
voice_mail_plan,total_eve_minutes,total_eve_minutes
international_plan,state,total_night_charge
total_intl_calls,voice_mail_plan,total_night_minutes
total_eve_minutes,phone_number,total_intl_charge
total_eve_charge,total_day_charge,total_intl_minutes
total_night_minutes,total_night_minutes,voice_mail_plan
number_vmail_messages,total_eve_calls,number_customer_service_calls
total_intl_charge,international_plan,number_vmail_messages
total_night_charge,total_intl_calls,international_plan
total_intl_minutes,total_intl_charge,total_intl_calls
state,area_code,state
phone_number,total_intl_minutes,total_night_calls
area_code,total_day_calls,account_length
account_length,account_length,total_eve_calls
total_day_calls,number_customer_service_calls,phone_number
total_night_calls,number_vmail_messages,total_day_calls
total_eve_calls,total_day_minutes,area_code
