shap,sofi,GAMINet
number_vmail_messages,total_night_charge,total_day_charge
number_customer_service_calls,total_intl_minutes,number_customer_service_calls
voice_mail_plan,area_code,total_day_minutes
total_day_charge,total_intl_charge,voice_mail_plan
total_day_minutes,total_day_minutes,total_night_charge
total_intl_calls,voice_mail_plan,international_plan
total_intl_charge,number_vmail_messages,area_code
area_code,total_eve_calls,total_intl_calls
total_eve_charge,total_intl_calls,total_intl_charge
total_night_charge,phone_number,total_night_minutes
total_intl_minutes,total_eve_minutes,total_intl_minutes
total_eve_minutes,international_plan,total_eve_charge
international_plan,account_length,total_eve_minutes
total_night_minutes,total_day_charge,state
account_length,total_night_minutes,account_length
phone_number,state,phone_number
state,total_day_calls,number_vmail_messages
total_eve_calls,total_night_calls,total_day_calls
total_day_calls,number_customer_service_calls,total_eve_calls
total_night_calls,total_eve_charge,total_night_calls
