shap,sofi,GAMINet
total_day_minutes,total_night_charge,number_customer_service_calls
total_day_charge,total_night_calls,total_day_minutes
number_customer_service_calls,number_customer_service_calls,total_day_charge
total_eve_calls,total_intl_calls,total_day_calls
total_day_calls,state,number_vmail_messages
total_night_minutes,total_intl_charge,international_plan
total_night_calls,total_intl_minutes,total_night_minutes
total_intl_minutes,voice_mail_plan,account_length
account_length,number_vmail_messages,total_intl_calls
total_eve_minutes,international_plan,total_intl_minutes
total_night_charge,total_day_calls,total_eve_calls
international_plan,total_eve_calls,total_eve_minutes
number_vmail_messages,total_eve_minutes,total_eve_charge
total_intl_calls,total_day_minutes,total_night_calls
total_eve_charge,phone_number,total_intl_charge
total_intl_charge,total_day_charge,voice_mail_plan
phone_number,total_night_minutes,total_night_charge
voice_mail_plan,account_length,phone_number
state,total_eve_charge,state
area_code,area_code,area_code
