data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/churn/datasets/K-IPO/1.csv,0.9263,8,4722,6009,0.9374,0.9684,0.9698,0.9629,0.9563,0.9923,0.9909,0.9355,0.9669,0.4286
./evaluation/churn/datasets/K-IPO/2.csv,0.8737,6,4722,6009,0.9426,0.9676,0.9657,0.9619,0.9583,0.9915,0.9913,0.9337,0.9664,0.4626
./evaluation/churn/datasets/K-IPO/3.csv,0.8842,13,4722,6009,0.9393,0.9646,0.9578,0.9589,0.9602,0.9894,0.9892,0.928,0.9641,0.483
./evaluation/churn/datasets/K-IPO/4.csv,0.9368,13,4722,6009,0.9453,0.9642,0.9574,0.9582,0.9592,0.9894,0.9879,0.9271,0.9636,0.4558
./evaluation/churn/datasets/K-IPO/5.csv,0.8842,10,4722,6009,0.9401,0.9646,0.9573,0.9588,0.9602,0.9875,0.9882,0.9278,0.9641,0.4558
./evaluation/churn/datasets/K-IPO/6.csv,0.9474,14,4722,6009,0.9386,0.9634,0.9546,0.9573,0.9602,0.9894,0.9874,0.9253,0.963,0.4762
./evaluation/churn/datasets/K-IPO/7.csv,0.9053,13,4722,6009,0.9374,0.9663,0.9647,0.9604,0.9563,0.9907,0.9902,0.9312,0.9651,0.4626
./evaluation/churn/datasets/K-IPO/8.csv,0.9263,10,4722,6009,0.9401,0.9676,0.9603,0.9621,0.9641,0.9909,0.9897,0.9339,0.9671,0.4626
./evaluation/churn/datasets/K-IPO/9.csv,0.9263,10,4722,6009,0.939,0.9705,0.9697,0.9654,0.9612,0.9915,0.9908,0.9397,0.9693,0.4762
./evaluation/churn/datasets/K-IPO/10.csv,0.8842,6,4722,6009,0.9332,0.9634,0.9536,0.9574,0.9612,0.9908,0.9894,0.9254,0.9631,0.4762
