data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/fried/datasets/TVAE/1.csv,0.6444,0,22469,28596,0.944,0.9743,0.9812,0.9697,0.9584,0.995,0.9946,0.9476,0.9723,0.6667
./evaluation/fried/datasets/TVAE/2.csv,0.5111,0,22469,28596,0.9455,0.9753,0.9833,0.9708,0.9586,0.9953,0.9948,0.9496,0.9732,0.6667
./evaluation/fried/datasets/TVAE/3.csv,0.4667,0,22469,28596,0.9424,0.9734,0.9799,0.9686,0.9576,0.9945,0.9942,0.9458,0.9714,0.6984
./evaluation/fried/datasets/TVAE/4.csv,0.6889,0,22469,28596,0.9475,0.977,0.9819,0.9729,0.9641,0.9957,0.9954,0.9531,0.9754,0.6508
./evaluation/fried/datasets/TVAE/5.csv,0.4667,0,22469,28596,0.9446,0.9746,0.982,0.9699,0.9582,0.9946,0.9942,0.9481,0.9725,0.6667
./evaluation/fried/datasets/TVAE/6.csv,0.5111,2,22469,28596,0.9444,0.9739,0.9756,0.9693,0.9631,0.9954,0.9949,0.9466,0.9725,0.6508
./evaluation/fried/datasets/TVAE/7.csv,0.5556,0,22469,28596,0.9424,0.9752,0.9869,0.9705,0.9547,0.9949,0.9945,0.9496,0.9726,0.6667
./evaluation/fried/datasets/TVAE/8.csv,0.5111,0,22469,28596,0.9427,0.9719,0.9791,0.9668,0.9549,0.9944,0.9938,0.9428,0.9698,0.6984
./evaluation/fried/datasets/TVAE/9.csv,0.4667,0,22469,28596,0.943,0.9736,0.9804,0.9688,0.9576,0.995,0.9946,0.9462,0.9716,0.6667
./evaluation/fried/datasets/TVAE/10.csv,0.7333,0,22469,28596,0.9441,0.9737,0.9796,0.969,0.9586,0.9948,0.9944,0.9463,0.9718,0.6667
