shap,sofi,GAMINet
coefficient7,coefficient8,coefficient7
utterance,coefficient10,utterance
coefficient6,coefficient2,coefficient6
coefficient3,coefficient12,coefficient3
coefficient1,frame,coefficient1
coefficient2,coefficient3,coefficient5
coefficient5,coefficient4,coefficient12
coefficient10,coefficient1,coefficient8
coefficient12,utterance,coefficient10
coefficient9,coefficient9,coefficient2
coefficient8,coefficient7,coefficient4
coefficient4,coefficient6,frame
frame,coefficient11,coefficient9
coefficient11,coefficient5,coefficient11
