shap,sofi,GAMINet
coefficient6,coefficient2,coefficient6
coefficient1,coefficient12,coefficient8
coefficient7,frame,coefficient1
utterance,coefficient8,coefficient9
coefficient3,coefficient1,utterance
coefficient9,coefficient5,coefficient7
coefficient2,coefficient10,coefficient3
coefficient10,utterance,coefficient12
coefficient5,coefficient4,coefficient4
coefficient8,coefficient7,coefficient2
frame,coefficient3,coefficient5
coefficient4,coefficient9,coefficient11
coefficient12,coefficient6,frame
coefficient11,coefficient11,coefficient10
