shap,sofi,GAMINet
coefficient6,coefficient2,coefficient6
coefficient1,coefficient11,coefficient3
coefficient7,utterance,coefficient1
coefficient3,coefficient10,coefficient9
coefficient9,coefficient3,coefficient8
coefficient2,coefficient7,utterance
utterance,coefficient6,coefficient2
coefficient8,frame,coefficient7
coefficient10,coefficient4,coefficient12
coefficient4,coefficient8,coefficient4
coefficient12,coefficient1,frame
coefficient5,coefficient12,coefficient10
frame,coefficient9,coefficient5
coefficient11,coefficient5,coefficient11
