data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/japanese-vowels/datasets/CTGAN/1.csv,0.5604,1,9961,11684,0.9929,0.9949,0.9945,0.994,0.9935,0.9999,0.9998,0.9895,0.9947,0.6111
./evaluation/japanese-vowels/datasets/CTGAN/2.csv,0.5165,0,9961,11684,0.9938,0.9938,0.994,0.9927,0.9915,0.9998,0.9997,0.9873,0.9935,0.6270
./evaluation/japanese-vowels/datasets/CTGAN/3.csv,0.3626,1,9961,11684,0.9794,0.9876,0.9812,0.9856,0.99,0.999,0.9987,0.9747,0.9879,0.6587
./evaluation/japanese-vowels/datasets/CTGAN/4.csv,0.3846,0,9961,11684,0.9762,0.9844,0.9763,0.9819,0.9875,0.9989,0.9986,0.9682,0.9848,0.5476
./evaluation/japanese-vowels/datasets/CTGAN/5.csv,0.4066,0,9961,11684,0.9847,0.9906,0.9935,0.989,0.9845,0.9993,0.9992,0.9808,0.9898,0.5556
./evaluation/japanese-vowels/datasets/CTGAN/6.csv,0.6484,1,9961,11684,0.9838,0.9869,0.9826,0.9848,0.987,0.9992,0.9989,0.9734,0.987,0.6508
./evaluation/japanese-vowels/datasets/CTGAN/7.csv,0.2967,0,9961,11684,0.9886,0.9887,0.9861,0.9868,0.9875,0.9992,0.999,0.9769,0.9885,0.6429
./evaluation/japanese-vowels/datasets/CTGAN/8.csv,0.5604,0,9961,11684,0.9862,0.9874,0.9808,0.9854,0.99,0.9991,0.9988,0.9743,0.9877,0.6429
./evaluation/japanese-vowels/datasets/CTGAN/9.csv,0.3187,1,9961,11684,0.9904,0.9897,0.9866,0.988,0.9895,0.9995,0.9994,0.979,0.9897,0.5159
./evaluation/japanese-vowels/datasets/CTGAN/10.csv,0.4286,1,9961,11684,0.989,0.9912,0.9871,0.9898,0.9925,0.9995,0.9994,0.9821,0.9914,0.5635
