data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/japanese-vowels/datasets/K-IPO/1.csv,0.978,10,9961,11684,0.9984,0.9966,0.995,0.996,0.997,0.9999,0.9999,0.993,0.9966,0.5952
./evaluation/japanese-vowels/datasets/K-IPO/2.csv,0.978,10,9961,11684,0.9978,0.9968,0.9965,0.9963,0.996,0.9999,0.9999,0.9934,0.9967,0.5952
./evaluation/japanese-vowels/datasets/K-IPO/3.csv,0.978,10,9961,11684,0.9982,0.997,0.995,0.9965,0.998,1.0,1.0,0.9939,0.9971,0.5873
./evaluation/japanese-vowels/datasets/K-IPO/4.csv,0.9121,6,9961,11684,0.9981,0.9961,0.9945,0.9955,0.9965,0.9999,0.9999,0.9921,0.9962,0.627
./evaluation/japanese-vowels/datasets/K-IPO/5.csv,0.978,6,9961,11684,0.9979,0.9957,0.995,0.995,0.995,0.9999,0.9999,0.9913,0.9956,0.6349
./evaluation/japanese-vowels/datasets/K-IPO/6.csv,0.956,9,9961,11684,0.9979,0.9957,0.9935,0.995,0.9965,0.9999,0.9999,0.9913,0.9958,0.6032
./evaluation/japanese-vowels/datasets/K-IPO/7.csv,0.956,9,9961,11684,0.998,0.9959,0.9975,0.9952,0.993,0.9999,0.9999,0.9917,0.9956,0.6349
./evaluation/japanese-vowels/datasets/K-IPO/8.csv,0.956,6,9961,11684,0.998,0.9964,0.9965,0.9958,0.995,0.9999,0.9999,0.9926,0.9962,0.5952
./evaluation/japanese-vowels/datasets/K-IPO/9.csv,0.956,10,9961,11684,0.998,0.9972,0.998,0.9967,0.9955,1.0,0.9999,0.9943,0.997,0.6032
./evaluation/japanese-vowels/datasets/K-IPO/10.csv,0.978,10,9961,11684,0.998,0.9964,0.995,0.9958,0.9965,0.9999,0.9999,0.9926,0.9964,0.5952
