data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/japanese-vowels/datasets/SMOTEWB/1.csv,0.9341,1,9961,11684,0.9984,0.9974,0.9945,0.997,0.9995,1.0,0.9999,0.9948,0.9977,0.5952
./evaluation/japanese-vowels/datasets/SMOTEWB/2.csv,0.9341,1,9961,11684,0.9984,0.9976,0.996,0.9973,0.9985,0.9999,0.9999,0.9952,0.9978,0.5873
./evaluation/japanese-vowels/datasets/SMOTEWB/3.csv,0.9341,1,9961,11684,0.9984,0.9979,0.998,0.9975,0.997,1.0,0.9999,0.9956,0.9978,0.6032
./evaluation/japanese-vowels/datasets/SMOTEWB/4.csv,0.9341,1,9961,11684,0.9983,0.9972,0.997,0.9968,0.9965,0.9999,0.9999,0.9943,0.9971,0.6111
./evaluation/japanese-vowels/datasets/SMOTEWB/5.csv,0.9341,1,9961,11684,0.9984,0.9968,0.9955,0.9963,0.997,0.9999,0.9999,0.9934,0.9968,0.627
./evaluation/japanese-vowels/datasets/SMOTEWB/6.csv,0.9341,1,9961,11684,0.9983,0.9983,0.997,0.998,0.999,1.0,0.9999,0.9965,0.9984,0.627
./evaluation/japanese-vowels/datasets/SMOTEWB/7.csv,0.9341,1,9961,11684,0.9985,0.9964,0.994,0.9958,0.9975,0.9999,0.9999,0.9926,0.9965,0.5556
./evaluation/japanese-vowels/datasets/SMOTEWB/8.csv,0.9341,1,9961,11684,0.9985,0.9974,0.997,0.997,0.997,0.9999,0.9999,0.9948,0.9974,0.5556
./evaluation/japanese-vowels/datasets/SMOTEWB/9.csv,0.9341,1,9961,11684,0.9985,0.9974,0.997,0.997,0.997,0.9999,0.9999,0.9948,0.9974,0.5556
./evaluation/japanese-vowels/datasets/SMOTEWB/10.csv,0.9341,1,9961,11684,0.9985,0.9976,0.9965,0.9973,0.998,0.9999,0.9999,0.9952,0.9977,0.6508
