data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/lines-overload-50/datasets/K-IPO/1.csv,0.8476,6,4368,5663,0.989,0.9974,0.9939,0.9969,1,0.9992,0.9987,0.9946,0.9977,0.6481
./evaluation/lines-overload-50/datasets/K-IPO/2.csv,0.8517,4,4368,5663,0.9879,0.9978,0.9949,0.9974,1,0.9994,0.9991,0.9955,0.9981,0.6416
./evaluation/lines-overload-50/datasets/K-IPO/3.csv,0.8532,4,4368,5663,0.9879,0.9974,0.9939,0.9969,1,0.9995,0.9993,0.9946,0.9977,0.6481
./evaluation/lines-overload-50/datasets/K-IPO/4.csv,0.8506,6,4368,5663,0.9885,0.9982,0.9959,0.998,1,0.9996,0.9994,0.9964,0.9985,0.6459
./evaluation/lines-overload-50/datasets/K-IPO/5.csv,0.8559,4,4368,5663,0.9883,0.9978,0.9949,0.9974,1,0.9995,0.9993,0.9955,0.9981,0.6411
./evaluation/lines-overload-50/datasets/K-IPO/6.csv,0.8502,4,4368,5663,0.9883,0.9982,0.9959,0.998,1,0.9995,0.9993,0.9964,0.9985,0.6398
./evaluation/lines-overload-50/datasets/K-IPO/7.csv,0.8493,4,4368,5663,0.9885,0.9978,0.9949,0.9974,1,0.9996,0.9993,0.9955,0.9981,0.645
./evaluation/lines-overload-50/datasets/K-IPO/8.csv,0.8369,6,4368,5663,0.9887,0.9982,0.9959,0.998,1,0.9995,0.9992,0.9964,0.9985,0.639
./evaluation/lines-overload-50/datasets/K-IPO/9.csv,0.8565,6,4368,5663,0.9892,0.9978,0.9949,0.9974,1,0.9995,0.9992,0.9955,0.9981,0.6459
./evaluation/lines-overload-50/datasets/K-IPO/10.csv,0.857,4,4368,5663,0.9887,0.9974,0.9939,0.9969,1,0.9996,0.9994,0.9946,0.9977,0.639
