data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/lines-overload-50/datasets/TVAE/1.csv,0.7764,0,4368,5663,0.987,0.9969,0.9959,0.9964,0.9969,0.9999,0.9998,0.9937,0.9969,0.6273
./evaluation/lines-overload-50/datasets/TVAE/2.csv,0.7752,0,4368,5663,0.9868,0.9974,0.9959,0.9969,0.9979,0.9999,0.9998,0.9946,0.9974,0.6368
./evaluation/lines-overload-50/datasets/TVAE/3.csv,0.7624,1,4368,5663,0.9868,0.9969,0.9939,0.9964,0.999,0.9999,0.9999,0.9937,0.9972,0.6494
./evaluation/lines-overload-50/datasets/TVAE/4.csv,0.7636,0,4368,5663,0.987,0.9956,0.9919,0.9949,0.9979,0.9997,0.9997,0.991,0.9959,0.6316
./evaluation/lines-overload-50/datasets/TVAE/5.csv,0.7751,0,4368,5663,0.9868,0.9969,0.9949,0.9964,0.9979,0.9999,0.9999,0.9937,0.997,0.6416
./evaluation/lines-overload-50/datasets/TVAE/6.csv,0.7742,0,4368,5663,0.9868,0.996,0.9929,0.9954,0.9979,0.9998,0.9997,0.9919,0.9963,0.6411
./evaluation/lines-overload-50/datasets/TVAE/7.csv,0.766,0,4368,5663,0.9868,0.9956,0.9919,0.9949,0.9979,0.9997,0.9997,0.991,0.9959,0.6333
./evaluation/lines-overload-50/datasets/TVAE/8.csv,0.7862,1,4368,5663,0.9868,0.9974,0.9959,0.9969,0.9979,0.9999,0.9999,0.9946,0.9974,0.6394
./evaluation/lines-overload-50/datasets/TVAE/9.csv,0.7821,3,4368,5663,0.987,0.9969,0.9939,0.9964,0.999,0.9999,0.9999,0.9937,0.9972,0.6351
./evaluation/lines-overload-50/datasets/TVAE/10.csv,0.7666,0,4368,5663,0.9872,0.9969,0.9959,0.9964,0.9969,0.9999,0.9998,0.9937,0.9969,0.6359
