data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/magic-gamma-telescope/datasets/K-IPO/1.csv,1.0,10,13565,17265,0.9477,0.9418,0.9299,0.9321,0.9351,0.9826,0.98,0.8817,0.941,0.5
./evaluation/magic-gamma-telescope/datasets/K-IPO/2.csv,1.0,10,13565,17265,0.945,0.9309,0.9195,0.9192,0.9193,0.9768,0.9739,0.8591,0.9295,0.5
./evaluation/magic-gamma-telescope/datasets/K-IPO/3.csv,1.0,10,13565,17265,0.96,0.9467,0.9368,0.9378,0.9389,0.9846,0.9827,0.8912,0.9457,0.5
./evaluation/magic-gamma-telescope/datasets/K-IPO/4.csv,1.0,10,13565,17265,0.9457,0.938,0.933,0.9273,0.9216,0.981,0.9779,0.8733,0.936,0.5238
./evaluation/magic-gamma-telescope/datasets/K-IPO/5.csv,1.0,10,13565,17265,0.9618,0.9522,0.9626,0.943,0.9243,0.9835,0.9829,0.9025,0.9487,0.5
./evaluation/magic-gamma-telescope/datasets/K-IPO/6.csv,1.0,10,13565,17265,0.9497,0.9399,0.9253,0.9304,0.9358,0.982,0.9791,0.8777,0.9394,0.5
./evaluation/magic-gamma-telescope/datasets/K-IPO/7.csv,1.0,10,13565,17265,0.9592,0.947,0.9408,0.938,0.9351,0.983,0.9812,0.8917,0.9455,0.5
./evaluation/magic-gamma-telescope/datasets/K-IPO/8.csv,1.0,10,13565,17265,0.9456,0.9327,0.9267,0.9212,0.9159,0.9794,0.9763,0.8626,0.9306,0.5119
./evaluation/magic-gamma-telescope/datasets/K-IPO/9.csv,1.0,10,13565,17265,0.9463,0.9367,0.9349,0.9253,0.9162,0.9796,0.9775,0.8708,0.9342,0.5595
./evaluation/magic-gamma-telescope/datasets/K-IPO/10.csv,1.0,10,13565,17265,0.9481,0.9286,0.9119,0.9171,0.9226,0.9797,0.9763,0.8546,0.9279,0.5238
