data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/magic-gamma-telescope/datasets/TVAE/1.csv,0.8667,3,13565,17265,0.8599,0.9412,0.935,0.9312,0.9274,0.9801,0.9786,0.8799,0.9395,0.5119
./evaluation/magic-gamma-telescope/datasets/TVAE/2.csv,0.9111,3,13565,17265,0.8627,0.9406,0.9252,0.9313,0.9375,0.9799,0.9789,0.8792,0.9402,0.5952
./evaluation/magic-gamma-telescope/datasets/TVAE/3.csv,0.9111,6,13565,17265,0.8548,0.9398,0.9382,0.9292,0.9206,0.979,0.9779,0.8771,0.9374,0.5476
./evaluation/magic-gamma-telescope/datasets/TVAE/4.csv,0.9111,3,13565,17265,0.8576,0.9408,0.9318,0.9309,0.9301,0.9802,0.9791,0.8791,0.9394,0.4524
./evaluation/magic-gamma-telescope/datasets/TVAE/5.csv,0.9556,3,13565,17265,0.8541,0.9402,0.9372,0.9297,0.9223,0.9806,0.979,0.8777,0.938,0.6071
./evaluation/magic-gamma-telescope/datasets/TVAE/6.csv,0.9111,7,13565,17265,0.8631,0.9406,0.9337,0.9306,0.9277,0.98,0.9775,0.8789,0.939,0.5952
./evaluation/magic-gamma-telescope/datasets/TVAE/7.csv,0.8667,7,13565,17265,0.8576,0.9402,0.94,0.9297,0.9203,0.9788,0.9772,0.8783,0.9377,0.5952
./evaluation/magic-gamma-telescope/datasets/TVAE/8.csv,0.9556,7,13565,17265,0.8648,0.9357,0.9268,0.9249,0.9233,0.9774,0.9761,0.8689,0.9342,0.5833
./evaluation/magic-gamma-telescope/datasets/TVAE/9.csv,0.9556,7,13565,17265,0.8623,0.9414,0.9374,0.9312,0.925,0.9803,0.9792,0.8802,0.9393,0.4762
./evaluation/magic-gamma-telescope/datasets/TVAE/10.csv,0.9111,6,13565,17265,0.8656,0.9411,0.9453,0.9302,0.9155,0.9805,0.9792,0.8795,0.9379,0.5833
