data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/magic-gamma-telescope/datasets/TabDDPM/1.csv,0.6889,3,13565,17265,0.8548,0.9111,0.9214,0.8931,0.8672,0.9615,0.9609,0.8187,0.9056,0.6429
./evaluation/magic-gamma-telescope/datasets/TabDDPM/2.csv,0.7778,3,13565,17265,0.8348,0.89,0.8749,0.8712,0.8679,0.9515,0.9494,0.7754,0.8872,0.5714
./evaluation/magic-gamma-telescope/datasets/TabDDPM/3.csv,0.7778,3,13565,17265,0.8254,0.8973,0.897,0.8776,0.8591,0.9533,0.9511,0.7898,0.8926,0.5119
./evaluation/magic-gamma-telescope/datasets/TabDDPM/4.csv,0.6,3,13565,17265,0.8431,0.9081,0.9141,0.89,0.8672,0.9551,0.956,0.812,0.903,0.619
./evaluation/magic-gamma-telescope/datasets/TabDDPM/5.csv,0.7778,3,13565,17265,0.8527,0.9037,0.9118,0.8843,0.8584,0.9586,0.9578,0.803,0.8981,0.5476
./evaluation/magic-gamma-telescope/datasets/TabDDPM/6.csv,0.7333,0,13565,17265,0.5929,0.6458,0.5851,0.5845,0.5851,0.6909,0.6677,0.2764,0.6382,0.5238
./evaluation/magic-gamma-telescope/datasets/TabDDPM/7.csv,0.8667,4,13565,17265,0.8315,0.8931,0.8934,0.8724,0.8524,0.9496,0.9486,0.7812,0.888,0.5476
./evaluation/magic-gamma-telescope/datasets/TabDDPM/8.csv,0.6444,0,13565,17265,0.5917,0.6361,0.5802,0.5721,0.5652,0.6793,0.6618,0.2562,0.6273,0.5119
./evaluation/magic-gamma-telescope/datasets/TabDDPM/9.csv,0.8222,3,13565,17265,0.8334,0.9057,0.901,0.8885,0.8764,0.9587,0.9573,0.8072,0.9021,0.5595
./evaluation/magic-gamma-telescope/datasets/TabDDPM/10.csv,0.8222,0,13565,17265,0.5823,0.6354,0.5747,0.571,0.5676,0.6823,0.6658,0.2541,0.6269,0.5
