data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/mammography/datasets/TabDDPM/1.csv,0.6,0,11183,15291,0.9462,0.9598,0.95,0.9533,0.9565,0.9855,0.985,0.918,0.9594,0.6032
./evaluation/mammography/datasets/TabDDPM/2.csv,0.4667,0,11183,15291,0.9314,0.9472,0.9475,0.9378,0.9283,0.9786,0.9771,0.8921,0.9448,0.6032
./evaluation/mammography/datasets/TabDDPM/3.csv,0.4667,0,11183,15291,0.9362,0.9542,0.9542,0.9462,0.9382,0.9797,0.9799,0.9065,0.9522,0.6032
./evaluation/mammography/datasets/TabDDPM/4.csv,0.3333,0,11183,15291,0.943,0.9601,0.9549,0.9534,0.9519,0.9847,0.9835,0.9186,0.9591,0.6032
./evaluation/mammography/datasets/TabDDPM/5.csv,0.7333,0,11183,15291,0.9453,0.9567,0.9577,0.949,0.9405,0.9816,0.9807,0.9115,0.9547,0.6508
./evaluation/mammography/datasets/TabDDPM/6.csv,0.3333,0,11183,15291,0.9368,0.9539,0.9563,0.9456,0.9352,0.9823,0.9807,0.9058,0.9516,0.6349
./evaluation/mammography/datasets/TabDDPM/7.csv,0.7333,0,11183,15291,0.9345,0.9495,0.9516,0.9404,0.9294,0.9784,0.9785,0.8968,0.947,0.6032
./evaluation/mammography/datasets/TabDDPM/8.csv,0.3333,0,11183,15291,0.7751,0.9354,0.9596,0.9217,0.8867,0.966,0.9605,0.8689,0.9293,0.5714
./evaluation/mammography/datasets/TabDDPM/9.csv,0.2,0,11183,15291,0.9433,0.9588,0.9622,0.9514,0.9409,0.9822,0.9818,0.9158,0.9566,0.6032
./evaluation/mammography/datasets/TabDDPM/10.csv,0.7333,0,11183,15291,0.9144,0.931,0.9436,0.9173,0.8924,0.9681,0.9642,0.8592,0.9262,0.6508
