data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/nhanes/datasets/K-IPO/1.csv,0.9048,5,2105,2679,0.9281,0.8946,0.8717,0.8801,0.8891,0.9329,0.9141,0.7865,0.8939,0.75
./evaluation/nhanes/datasets/K-IPO/2.csv,1.0,7,2105,2679,0.9277,0.9076,0.8838,0.8949,0.9065,0.9434,0.9153,0.813,0.9075,0.75
./evaluation/nhanes/datasets/K-IPO/3.csv,1.0,7,2105,2679,0.9333,0.8993,0.8648,0.8887,0.9152,0.9371,0.9189,0.7988,0.9012,0.7381
./evaluation/nhanes/datasets/K-IPO/4.csv,0.9048,4,2105,2679,0.9216,0.916,0.9337,0.8981,0.8652,0.9491,0.936,0.8287,0.9097,0.75
./evaluation/nhanes/datasets/K-IPO/5.csv,1.0,7,2105,2679,0.9286,0.8993,0.8735,0.8854,0.8978,0.9372,0.9202,0.796,0.8991,0.7381
./evaluation/nhanes/datasets/K-IPO/6.csv,1.0,7,2105,2679,0.9258,0.8909,0.8523,0.8826,0.9196,0.93,0.9092,0.7865,0.8944,0.7381
./evaluation/nhanes/datasets/K-IPO/7.csv,1.0,7,2105,2679,0.9295,0.8983,0.8565,0.8924,0.937,0.9392,0.9257,0.8039,0.9031,0.7857
./evaluation/nhanes/datasets/K-IPO/8.csv,1.0,7,2105,2679,0.9295,0.8983,0.8565,0.8924,0.937,0.9392,0.9257,0.8039,0.9031,0.7857
./evaluation/nhanes/datasets/K-IPO/9.csv,1.0,7,2105,2679,0.9337,0.9132,0.8969,0.8995,0.9022,0.9455,0.9309,0.8232,0.9119,0.7381
./evaluation/nhanes/datasets/K-IPO/10.csv,0.9048,5,2105,2679,0.9211,0.9049,0.8814,0.8949,0.913,0.9409,0.9274,0.8118,0.9059,0.7262
