data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/nhanes/datasets/SMOTEWB/1.csv,0.7143,1,2105,2679,0.9244,0.8825,0.8834,0.857,0.8326,0.9247,0.9031,0.7587,0.8763,0.7381
./evaluation/nhanes/datasets/SMOTEWB/2.csv,0.7143,1,2105,2679,0.9244,0.8825,0.8834,0.857,0.8326,0.9247,0.9031,0.7587,0.8763,0.7381
./evaluation/nhanes/datasets/SMOTEWB/3.csv,0.7143,1,2105,2679,0.9244,0.8825,0.8834,0.857,0.8326,0.9247,0.9031,0.7587,0.8763,0.7381
./evaluation/nhanes/datasets/SMOTEWB/4.csv,0.7143,1,2105,2679,0.9244,0.8825,0.8834,0.857,0.8326,0.9247,0.9031,0.7587,0.8763,0.7381
./evaluation/nhanes/datasets/SMOTEWB/5.csv,0.7143,1,2105,2679,0.9244,0.8825,0.8834,0.857,0.8326,0.9247,0.9031,0.7587,0.8763,0.7381
./evaluation/nhanes/datasets/SMOTEWB/6.csv,0.7143,4,2105,2679,0.9323,0.8974,0.8669,0.887,0.9109,0.9398,0.9192,0.7962,0.8991,0.7619
./evaluation/nhanes/datasets/SMOTEWB/7.csv,0.8095,1,2105,2679,0.9244,0.889,0.8677,0.8754,0.8848,0.9209,0.9059,0.7767,0.8885,0.7381
./evaluation/nhanes/datasets/SMOTEWB/8.csv,0.7143,1,2105,2679,0.9333,0.8685,0.8419,0.8558,0.8739,0.9156,0.8968,0.7384,0.8691,0.6786
./evaluation/nhanes/datasets/SMOTEWB/9.csv,0.7143,1,2105,2679,0.9333,0.8685,0.8419,0.8558,0.8739,0.9156,0.8968,0.7384,0.8691,0.6786
./evaluation/nhanes/datasets/SMOTEWB/10.csv,0.7143,1,2105,2679,0.9333,0.8685,0.8419,0.8558,0.8739,0.9156,0.8968,0.7384,0.8691,0.6786
