shap,sofi,GAMINet
PageValues,Informational_Duration,Informational_Duration
Informational_Duration,Month,PageValues
SpecialDay,ProductRelated,ExitRates
Browser,Weekend,SpecialDay
Weekend,TrafficType,Weekend
Informational,ProductRelated_Duration,ProductRelated
ExitRates,SpecialDay,Informational
Month,Informational,VisitorType
Administrative,Administrative,ProductRelated_Duration
Administrative_Duration,Browser,TrafficType
OperatingSystems,ExitRates,Region
BounceRates,OperatingSystems,Browser
ProductRelated_Duration,VisitorType,Month
TrafficType,Region,Administrative_Duration
VisitorType,PageValues,Administrative
ProductRelated,BounceRates,OperatingSystems
Region,Administrative_Duration,BounceRates
