shap,sofi,GAMINet
PageValues,ProductRelated,PageValues
Month,Administrative,ExitRates
Administrative_Duration,ExitRates,Month
ExitRates,ProductRelated_Duration,BounceRates
Administrative,TrafficType,Region
BounceRates,Weekend,ProductRelated_Duration
TrafficType,PageValues,Weekend
ProductRelated_Duration,Informational_Duration,Administrative
ProductRelated,Administrative_Duration,Browser
Region,VisitorType,ProductRelated
Informational,Month,OperatingSystems
OperatingSystems,Region,Administrative_Duration
Browser,BounceRates,TrafficType
Informational_Duration,Browser,SpecialDay
Weekend,OperatingSystems,Informational
SpecialDay,Informational,Informational_Duration
VisitorType,SpecialDay,VisitorType
