shap,sofi,GAMINet
PageValues,Informational_Duration,PageValues
Month,ProductRelated,Month
ExitRates,OperatingSystems,ExitRates
Administrative_Duration,TrafficType,BounceRates
Administrative,ExitRates,Region
ProductRelated_Duration,SpecialDay,ProductRelated_Duration
TrafficType,BounceRates,OperatingSystems
BounceRates,PageValues,Administrative
ProductRelated,Administrative,ProductRelated
Region,VisitorType,Browser
Informational,Month,Weekend
Informational_Duration,Region,TrafficType
OperatingSystems,ProductRelated_Duration,SpecialDay
Browser,Weekend,Informational
SpecialDay,Browser,Administrative_Duration
Weekend,Administrative_Duration,Informational_Duration
VisitorType,Informational,VisitorType
