shap,sofi,GAMINet
PageValues,Weekend,PageValues
SpecialDay,SpecialDay,Month
Informational_Duration,ProductRelated,ExitRates
Informational,PageValues,Region
Region,BounceRates,Browser
BounceRates,ProductRelated_Duration,OperatingSystems
ExitRates,Region,ProductRelated
Month,Informational_Duration,BounceRates
Weekend,Informational,TrafficType
TrafficType,ExitRates,Informational_Duration
ProductRelated,Month,Administrative_Duration
ProductRelated_Duration,OperatingSystems,SpecialDay
Administrative_Duration,Administrative,VisitorType
Administrative,VisitorType,Informational
Browser,TrafficType,Weekend
VisitorType,Administrative_Duration,Administrative
OperatingSystems,Browser,ProductRelated_Duration
