shap,sofi,GAMINet
PageValues,Administrative_Duration,PageValues
SpecialDay,Browser,SpecialDay
ProductRelated,OperatingSystems,Administrative_Duration
Administrative_Duration,Informational_Duration,OperatingSystems
Administrative,Weekend,TrafficType
Informational_Duration,ProductRelated_Duration,Informational_Duration
ProductRelated_Duration,TrafficType,Administrative
Informational,SpecialDay,Informational
OperatingSystems,Administrative,ExitRates
ExitRates,ProductRelated,Browser
Month,Month,Month
TrafficType,VisitorType,BounceRates
Browser,ExitRates,ProductRelated_Duration
BounceRates,Region,Region
Weekend,BounceRates,VisitorType
VisitorType,PageValues,ProductRelated
Region,Informational,Weekend
