data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/online-shoppers-purchasing-intention/datasets/K-IPO/1.csv,0.8235,6,11464,14589,0.9279,0.9395,0.916,0.9307,0.946,0.981,0.972,0.8775,0.9403,0.5635
./evaluation/online-shoppers-purchasing-intention/datasets/K-IPO/2.csv,0.8833,6,11464,14589,0.9356,0.9419,0.9204,0.9332,0.9464,0.9824,0.9724,0.8821,0.9425,0.5794
./evaluation/online-shoppers-purchasing-intention/datasets/K-IPO/3.csv,0.9,6,11464,14589,0.9339,0.9416,0.9185,0.9331,0.9484,0.9809,0.971,0.8818,0.9424,0.5079
./evaluation/online-shoppers-purchasing-intention/datasets/K-IPO/4.csv,0.8235,6,11464,14589,0.9312,0.9421,0.9133,0.9341,0.956,0.9806,0.9715,0.8833,0.9438,0.619
./evaluation/online-shoppers-purchasing-intention/datasets/K-IPO/5.csv,0.8235,6,11464,14589,0.9279,0.9412,0.9089,0.9334,0.9596,0.9823,0.9725,0.8821,0.9435,0.6349
./evaluation/online-shoppers-purchasing-intention/datasets/K-IPO/6.csv,0.9167,6,11464,14589,0.9383,0.9407,0.9175,0.9319,0.9468,0.9818,0.9732,0.8798,0.9415,0.5079
./evaluation/online-shoppers-purchasing-intention/datasets/K-IPO/7.csv,0.8235,6,11464,14589,0.9312,0.9397,0.9171,0.9307,0.9448,0.9803,0.9698,0.8777,0.9403,0.5635
./evaluation/online-shoppers-purchasing-intention/datasets/K-IPO/8.csv,0.8235,6,11464,14589,0.9272,0.9361,0.917,0.9262,0.9356,0.978,0.9661,0.87,0.936,0.5873
./evaluation/online-shoppers-purchasing-intention/datasets/K-IPO/9.csv,0.8667,6,11464,14589,0.9347,0.94,0.919,0.9312,0.944,0.9817,0.9726,0.8785,0.9405,0.5714
./evaluation/online-shoppers-purchasing-intention/datasets/K-IPO/10.csv,0.8088,6,11464,14589,0.9312,0.94,0.9194,0.931,0.9432,0.9803,0.9714,0.8784,0.9404,0.5476
