data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/pen-digits/datasets/SMOTEWB/1.csv,0.95,2,10992,13910,0.9993,0.9996,1.0,0.9996,0.9992,1.0,1.0,0.9993,0.9996,0.6455
./evaluation/pen-digits/datasets/SMOTEWB/2.csv,0.8833,2,10992,13910,0.9993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6349
./evaluation/pen-digits/datasets/SMOTEWB/3.csv,0.8833,2,10992,13910,0.9994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6402
./evaluation/pen-digits/datasets/SMOTEWB/4.csv,0.8833,2,10992,13910,0.9994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6402
./evaluation/pen-digits/datasets/SMOTEWB/5.csv,0.8833,2,10992,13910,0.9994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6402
./evaluation/pen-digits/datasets/SMOTEWB/6.csv,0.9333,4,10992,13910,0.9994,0.9998,0.9996,0.9998,1.0,1.0,1.0,0.9996,0.9998,0.6561
./evaluation/pen-digits/datasets/SMOTEWB/7.csv,0.8667,2,10992,13910,0.9994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6243
./evaluation/pen-digits/datasets/SMOTEWB/8.csv,0.9333,2,10992,13910,0.9993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6296
./evaluation/pen-digits/datasets/SMOTEWB/9.csv,0.9667,11,10992,13910,0.9992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6349
./evaluation/pen-digits/datasets/SMOTEWB/10.csv,0.8667,2,10992,13910,0.9993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6349
