data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/pen-digits/datasets/TabDDPM/1.csv,0.75,2,10992,13910,0.9774,0.9923,0.9949,0.9909,0.987,0.9995,0.9993,0.9842,0.9916,0.6085
./evaluation/pen-digits/datasets/TabDDPM/2.csv,0.6667,2,10992,13910,0.9799,0.9916,0.9932,0.9901,0.987,0.999,0.999,0.9828,0.991,0.6455
./evaluation/pen-digits/datasets/TabDDPM/3.csv,0.5667,0,10992,13910,0.9817,0.9898,0.9878,0.988,0.9883,0.9992,0.9991,0.9791,0.9896,0.6825
./evaluation/pen-digits/datasets/TabDDPM/4.csv,0.5167,0,10992,13910,0.9793,0.9914,0.9945,0.9899,0.9853,0.999,0.9989,0.9824,0.9906,0.6032
./evaluation/pen-digits/datasets/TabDDPM/5.csv,0.7167,1,10992,13910,0.9783,0.9905,0.987,0.9889,0.9908,0.9987,0.9988,0.9806,0.9905,0.6402
./evaluation/pen-digits/datasets/TabDDPM/6.csv,0.6833,0,10992,13910,0.98,0.9914,0.9899,0.9899,0.9899,0.9991,0.999,0.9824,0.9912,0.6561
./evaluation/pen-digits/datasets/TabDDPM/7.csv,0.8,2,10992,13910,0.9803,0.9908,0.9916,0.9893,0.987,0.9977,0.998,0.9813,0.9904,0.709
./evaluation/pen-digits/datasets/TabDDPM/8.csv,0.7333,0,10992,13910,0.9835,0.9926,0.9953,0.9914,0.9874,0.9986,0.9987,0.985,0.992,0.6455
./evaluation/pen-digits/datasets/TabDDPM/9.csv,0.8167,2,10992,13910,0.9831,0.9903,0.9925,0.9886,0.9849,0.9995,0.9993,0.9802,0.9896,0.6349
./evaluation/pen-digits/datasets/TabDDPM/10.csv,0.5667,0,10992,13910,0.9828,0.9928,0.9929,0.9916,0.9904,0.9995,0.9994,0.9853,0.9925,0.6772
