data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/rl/datasets/CTGAN/1.csv,0.4545,0,2733,3479,0.8361,0.9397,0.9776,0.9258,0.8792,0.9562,0.9639,0.8787,0.9321,0.7714
./evaluation/rl/datasets/CTGAN/2.csv,0.1818,0,2733,3479,0.7787,0.9368,0.9774,0.922,0.8725,0.9616,0.9655,0.8731,0.9287,0.6714
./evaluation/rl/datasets/CTGAN/3.csv,0.6364,2,2733,3479,0.816,0.9353,0.9774,0.9201,0.8691,0.9599,0.9641,0.8703,0.927,0.6571
./evaluation/rl/datasets/CTGAN/4.csv,0.5455,0,2733,3479,0.7894,0.9167,0.9348,0.899,0.8658,0.9501,0.956,0.83,0.9103,0.7571
./evaluation/rl/datasets/CTGAN/5.csv,0.5455,0,2733,3479,0.7973,0.9425,0.9674,0.9303,0.896,0.9608,0.9665,0.8834,0.9367,0.6714
./evaluation/rl/datasets/CTGAN/6.csv,0.4545,0,2733,3479,0.8221,0.9368,0.9601,0.9233,0.8893,0.9621,0.9671,0.8715,0.9308,0.6714
./evaluation/rl/datasets/CTGAN/7.csv,0.303,0,2733,3479,0.7729,0.9325,0.9373,0.9197,0.9027,0.9628,0.9658,0.8619,0.9287,0.6571
./evaluation/rl/datasets/CTGAN/8.csv,0.6364,2,2733,3479,0.8132,0.9411,0.9707,0.9282,0.8893,0.9589,0.9655,0.8808,0.9346,0.6857
./evaluation/rl/datasets/CTGAN/9.csv,0.2727,0,2733,3479,0.7812,0.921,0.9233,0.906,0.8893,0.9565,0.9603,0.8383,0.917,0.6571
./evaluation/rl/datasets/CTGAN/10.csv,0.4848,0,2733,3479,0.7988,0.9325,0.9498,0.9185,0.8893,0.9588,0.9646,0.8623,0.927,0.8429
