data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/rl/datasets/GaussianCopula/1.csv,0.5758,2,2733,3498,0.7427,0.91,0.9078,0.8941,0.8808,0.9547,0.957,0.8162,0.9065,0.7571
./evaluation/rl/datasets/GaussianCopula/2.csv,0.5758,2,2733,3498,0.7427,0.91,0.9078,0.8941,0.8808,0.9547,0.957,0.8162,0.9065,0.7571
./evaluation/rl/datasets/GaussianCopula/3.csv,0.5758,2,2733,3498,0.7427,0.91,0.9078,0.8941,0.8808,0.9547,0.957,0.8162,0.9065,0.7571
./evaluation/rl/datasets/GaussianCopula/4.csv,0.5758,2,2733,3498,0.7427,0.91,0.9078,0.8941,0.8808,0.9547,0.957,0.8162,0.9065,0.7571
./evaluation/rl/datasets/GaussianCopula/5.csv,0.5758,2,2733,3498,0.7427,0.91,0.9078,0.8941,0.8808,0.9547,0.957,0.8162,0.9065,0.7571
./evaluation/rl/datasets/GaussianCopula/6.csv,0.5758,2,2733,3498,0.7427,0.91,0.9078,0.8941,0.8808,0.9547,0.957,0.8162,0.9065,0.7571
./evaluation/rl/datasets/GaussianCopula/7.csv,0.5758,2,2733,3498,0.7427,0.91,0.9078,0.8941,0.8808,0.9547,0.957,0.8162,0.9065,0.7571
./evaluation/rl/datasets/GaussianCopula/8.csv,0.5758,2,2733,3498,0.7427,0.91,0.9078,0.8941,0.8808,0.9547,0.957,0.8162,0.9065,0.7571
./evaluation/rl/datasets/GaussianCopula/9.csv,0.5758,2,2733,3498,0.7427,0.91,0.9078,0.8941,0.8808,0.9547,0.957,0.8162,0.9065,0.7571
./evaluation/rl/datasets/GaussianCopula/10.csv,0.5758,2,2733,3498,0.7427,0.91,0.9078,0.8941,0.8808,0.9547,0.957,0.8162,0.9065,0.7571
