data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/seismic-bumps/datasets/K-IPO/1.csv,0.8095,6,2584,3379,0.8997,0.9075,0.8803,0.8942,0.9086,0.9611,0.9412,0.8125,0.9077,0.7762
./evaluation/seismic-bumps/datasets/K-IPO/2.csv,0.8095,7,2584,3379,0.9156,0.9068,0.8674,0.896,0.9276,0.9581,0.9429,0.8141,0.9094,0.7714
./evaluation/seismic-bumps/datasets/K-IPO/3.csv,0.8095,6,2584,3379,0.9149,0.9209,0.9233,0.9062,0.8897,0.9629,0.9567,0.8382,0.917,0.7714
./evaluation/seismic-bumps/datasets/K-IPO/4.csv,0.9048,3,2584,3379,0.9119,0.9068,0.8792,0.8936,0.9086,0.9595,0.9445,0.8113,0.907,0.7524
./evaluation/seismic-bumps/datasets/K-IPO/5.csv,0.8286,7,2584,3379,0.9042,0.9024,0.8842,0.8869,0.8897,0.9561,0.9367,0.8011,0.9008,0.7619
./evaluation/seismic-bumps/datasets/K-IPO/6.csv,0.8667,7,2584,3379,0.9083,0.9001,0.8647,0.8875,0.9121,0.9613,0.9453,0.7993,0.9016,0.7571
./evaluation/seismic-bumps/datasets/K-IPO/7.csv,0.8095,6,2584,3379,0.9031,0.9038,0.8717,0.8912,0.9121,0.9552,0.9333,0.8062,0.9049,0.7619
./evaluation/seismic-bumps/datasets/K-IPO/8.csv,0.8667,3,2584,3379,0.9071,0.9046,0.8782,0.8896,0.9017,0.9573,0.9333,0.8062,0.9042,0.7619
./evaluation/seismic-bumps/datasets/K-IPO/9.csv,0.8286,6,2584,3379,0.9005,0.9001,0.8914,0.8827,0.8741,0.9507,0.932,0.7959,0.8969,0.7762
./evaluation/seismic-bumps/datasets/K-IPO/10.csv,0.8667,7,2584,3379,0.9034,0.8942,0.849,0.8808,0.9155,0.9587,0.941,0.7882,0.8969,0.7762
