data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/seismic-bumps/datasets/SMOTENC/1.csv,0.7333,1,2584,3379,0.8849,0.8972,0.8846,0.8801,0.8759,0.9515,0.9206,0.7903,0.8945,0.7286
./evaluation/seismic-bumps/datasets/SMOTENC/2.csv,0.7905,1,2584,3379,0.8901,0.8891,0.8431,0.8767,0.9138,0.9469,0.9134,0.7787,0.8921,0.7619
./evaluation/seismic-bumps/datasets/SMOTENC/3.csv,0.6952,1,2584,3379,0.8972,0.8883,0.8346,0.8763,0.9224,0.9482,0.9191,0.7782,0.8926,0.7619
./evaluation/seismic-bumps/datasets/SMOTENC/4.csv,0.7333,1,2584,3379,0.8968,0.8905,0.8478,0.8776,0.9103,0.9538,0.93,0.781,0.893,0.7476
./evaluation/seismic-bumps/datasets/SMOTENC/5.csv,0.7524,1,2584,3379,0.8938,0.8831,0.8333,0.8692,0.9086,0.9511,0.9233,0.7665,0.8863,0.7619
./evaluation/seismic-bumps/datasets/SMOTENC/6.csv,0.6952,1,2584,3379,0.8972,0.8883,0.8346,0.8763,0.9224,0.9482,0.9191,0.7782,0.8926,0.7619
./evaluation/seismic-bumps/datasets/SMOTENC/7.csv,0.6952,1,2584,3379,0.8861,0.8891,0.8498,0.8774,0.9103,0.9432,0.914,0.7806,0.8917,0.7143
./evaluation/seismic-bumps/datasets/SMOTENC/8.csv,0.7143,1,2584,3379,0.892,0.8824,0.8266,0.8703,0.919,0.947,0.9158,0.7669,0.8869,0.7762
./evaluation/seismic-bumps/datasets/SMOTENC/9.csv,0.7524,1,2584,3379,0.8872,0.8817,0.8475,0.8648,0.8828,0.9448,0.9168,0.7602,0.8818,0.7333
./evaluation/seismic-bumps/datasets/SMOTENC/10.csv,0.6952,1,2584,3379,0.8972,0.8883,0.8346,0.8763,0.9224,0.9482,0.9191,0.7782,0.8926,0.7619
