data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/seismic-bumps/datasets/TVAE/1.csv,0.1619,0,2584,3379,0.8775,0.9482,0.9693,0.9379,0.9086,0.9718,0.9747,0.8951,0.9433,0.7095
./evaluation/seismic-bumps/datasets/TVAE/2.csv,0.2,0,2584,3379,0.8676,0.9401,0.9647,0.9275,0.8931,0.9683,0.9701,0.8785,0.9342,0.719
./evaluation/seismic-bumps/datasets/TVAE/3.csv,0.2,0,2584,3379,0.865,0.946,0.9613,0.9357,0.9121,0.9719,0.9747,0.8905,0.9418,0.7048
./evaluation/seismic-bumps/datasets/TVAE/4.csv,0.181,0,2584,3379,0.8735,0.9467,0.9707,0.9358,0.9034,0.973,0.9751,0.8922,0.9414,0.6524
./evaluation/seismic-bumps/datasets/TVAE/5.csv,0.3143,0,2584,3379,0.8735,0.943,0.9507,0.933,0.9172,0.9712,0.974,0.8848,0.9398,0.6762
./evaluation/seismic-bumps/datasets/TVAE/6.csv,0.219,0,2584,3379,0.8716,0.9438,0.9689,0.9322,0.8983,0.9734,0.9742,0.8862,0.9381,0.6857
./evaluation/seismic-bumps/datasets/TVAE/7.csv,0.2,0,2584,3379,0.8709,0.9408,0.9666,0.9284,0.8931,0.9704,0.9723,0.8801,0.9349,0.6571
./evaluation/seismic-bumps/datasets/TVAE/8.csv,0.219,0,2584,3379,0.8653,0.943,0.977,0.9303,0.8879,0.9686,0.9715,0.8853,0.9362,0.7095
./evaluation/seismic-bumps/datasets/TVAE/9.csv,0.181,0,2584,3379,0.8724,0.9512,0.9682,0.9418,0.9172,0.9738,0.9764,0.9011,0.947,0.681
./evaluation/seismic-bumps/datasets/TVAE/10.csv,0.2762,0,2584,3379,0.8705,0.9438,0.9717,0.9317,0.8948,0.9719,0.9738,0.8863,0.9377,0.6476
