shap,sofi,GAMINet
Temperature_J3,Speed_J1,Temperature_J2
Speed_J3,Current_J4,Temperature_J3
Temperature_J5,Tool_current,Temperature_J5
Temperature_J4,Speed_J0,Temperature_J0
Tool_current,Temperature_J5,Temperature_J4
Speed_J1,cycle,Speed_J3
Speed_J2,Temperature_J4,Tool_current
Temperature_J0,Temperature_J0,Speed_J1
Speed_J4,Current_J5,cycle
Temperature_J2,Temperature_J1,Speed_J0
Temperature_J1,Current_J3,Current_J5
Speed_J5,Current_J0,Current_J3
Current_J3,Temperature_J3,Speed_J5
Current_J5,Speed_J4,Temperature_J1
cycle,Speed_J2,Speed_J2
Current_J0,Current_J2,Speed_J4
Current_J4,Speed_J5,Current_J0
Speed_J0,Speed_J3,Current_J2
Current_J2,Temperature_J2,Current_J4
Current_J1,Current_J1,Current_J1
