data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/ur3-cobot-ops/datasets/CTGAN/1.csv,0.0526,0,7355,9572,0.9424,0.9593,0.9638,0.9519,0.9403,0.9878,0.9879,0.9168,0.9569,0.5992
./evaluation/ur3-cobot-ops/datasets/CTGAN/2.csv,0.0105,0,7355,9572,0.933,0.9606,0.9656,0.9534,0.9415,0.9885,0.9884,0.9195,0.9582,0.5635
./evaluation/ur3-cobot-ops/datasets/CTGAN/3.csv,0.0211,0,7355,9572,0.9395,0.9624,0.9814,0.955,0.93,0.9887,0.9885,0.9237,0.9584,0.5595
./evaluation/ur3-cobot-ops/datasets/CTGAN/4.csv,0.1684,1,7355,9572,0.935,0.9593,0.965,0.9518,0.9391,0.9889,0.9886,0.9168,0.9568,0.5913
./evaluation/ur3-cobot-ops/datasets/CTGAN/5.csv,-0.1053,0,7355,9572,0.9371,0.9619,0.9682,0.955,0.9421,0.9879,0.9881,0.9222,0.9594,0.5952
./evaluation/ur3-cobot-ops/datasets/CTGAN/6.csv,0.0316,0,7355,9572,0.9363,0.9614,0.976,0.954,0.933,0.9883,0.9882,0.9214,0.9578,0.6111
./evaluation/ur3-cobot-ops/datasets/CTGAN/7.csv,0.0316,0,7355,9572,0.9418,0.9585,0.9679,0.9507,0.9342,0.9884,0.9882,0.9153,0.9555,0.5794
./evaluation/ur3-cobot-ops/datasets/CTGAN/8.csv,-0.0316,0,7355,9572,0.9389,0.9614,0.9772,0.9539,0.9318,0.9877,0.9881,0.9215,0.9577,0.5833
./evaluation/ur3-cobot-ops/datasets/CTGAN/9.csv,-0.0737,0,7355,9572,0.9352,0.958,0.9614,0.9504,0.9397,0.9872,0.9877,0.9141,0.9557,0.5714
./evaluation/ur3-cobot-ops/datasets/CTGAN/10.csv,0.1053,0,7355,9572,0.9347,0.959,0.9691,0.9513,0.9342,0.9875,0.9876,0.9164,0.9559,0.5635
