data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/ur3-cobot-ops/datasets/K-IPO/1.csv,0.8105,6,7355,9572,0.9675,0.9582,0.9355,0.9533,0.9732,0.9847,0.974,0.9173,0.9601,0.623
./evaluation/ur3-cobot-ops/datasets/K-IPO/2.csv,0.8,6,7355,9572,0.9693,0.9551,0.9368,0.9487,0.961,0.9827,0.9709,0.9091,0.9558,0.6151
./evaluation/ur3-cobot-ops/datasets/K-IPO/3.csv,0.7789,6,7355,9572,0.9435,0.9475,0.932,0.94,0.9488,0.9846,0.9788,0.8941,0.9477,0.6111
./evaluation/ur3-cobot-ops/datasets/K-IPO/4.csv,0.8105,6,7355,9572,0.9384,0.9379,0.9296,0.9278,0.9263,0.981,0.9748,0.8735,0.9364,0.6071
./evaluation/ur3-cobot-ops/datasets/K-IPO/5.csv,0.8842,6,7355,9572,0.9688,0.9525,0.9392,0.9454,0.9519,0.9847,0.9764,0.9036,0.9524,0.6111
./evaluation/ur3-cobot-ops/datasets/K-IPO/6.csv,0.8737,4,7355,9572,0.9465,0.9457,0.9269,0.9378,0.9495,0.9822,0.9747,0.8901,0.9462,0.6151
./evaluation/ur3-cobot-ops/datasets/K-IPO/7.csv,0.7789,4,7355,9572,0.9484,0.9449,0.9306,0.9369,0.9446,0.983,0.9769,0.889,0.9449,0.6429
./evaluation/ur3-cobot-ops/datasets/K-IPO/8.csv,0.7368,4,7355,9572,0.9561,0.9488,0.9359,0.9412,0.947,0.9827,0.9747,0.8963,0.9486,0.627
./evaluation/ur3-cobot-ops/datasets/K-IPO/9.csv,0.7684,6,7355,9572,0.9498,0.9441,0.9304,0.9359,0.9421,0.9833,0.976,0.8869,0.9439,0.627
./evaluation/ur3-cobot-ops/datasets/K-IPO/10.csv,0.8632,6,7355,9572,0.9586,0.9522,0.9421,0.9446,0.947,0.9837,0.9749,0.9026,0.9516,0.6111
