data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/ur3-cobot-ops/datasets/SMOTEWB/1.csv,0.7053,0,7355,9572,0.9381,0.9379,0.9268,0.9278,0.9287,0.9814,0.9741,0.8733,0.9367,0.6032
./evaluation/ur3-cobot-ops/datasets/SMOTEWB/2.csv,0.7579,0,7355,9572,0.9421,0.9397,0.9222,0.9313,0.9421,0.9828,0.9745,0.8789,0.94,0.5913
./evaluation/ur3-cobot-ops/datasets/SMOTEWB/3.csv,0.7263,0,7355,9572,0.9403,0.9345,0.9162,0.9247,0.9336,0.9801,0.9711,0.867,0.9344,0.5913
./evaluation/ur3-cobot-ops/datasets/SMOTEWB/4.csv,0.7579,0,7355,9572,0.9378,0.9392,0.9233,0.9299,0.9367,0.9798,0.9713,0.8764,0.9389,0.5873
./evaluation/ur3-cobot-ops/datasets/SMOTEWB/5.csv,0.7684,0,7355,9572,0.9425,0.9358,0.9094,0.9272,0.9464,0.9811,0.973,0.8708,0.9371,0.5913
./evaluation/ur3-cobot-ops/datasets/SMOTEWB/6.csv,0.6632,4,7355,9572,0.9381,0.9402,0.9208,0.9321,0.9452,0.98,0.9725,0.8801,0.9408,0.5992
./evaluation/ur3-cobot-ops/datasets/SMOTEWB/7.csv,0.7263,3,7355,9572,0.9425,0.9352,0.9208,0.9248,0.9287,0.9799,0.9726,0.868,0.9344,0.6032
./evaluation/ur3-cobot-ops/datasets/SMOTEWB/8.csv,0.7263,1,7355,9572,0.9398,0.935,0.9127,0.9256,0.9391,0.9802,0.9741,0.8683,0.9355,0.6111
./evaluation/ur3-cobot-ops/datasets/SMOTEWB/9.csv,0.7684,0,7355,9572,0.9427,0.9397,0.9193,0.931,0.9434,0.9813,0.9715,0.878,0.9401,0.5992
./evaluation/ur3-cobot-ops/datasets/SMOTEWB/10.csv,0.6737,0,7355,9572,0.9377,0.9394,0.9274,0.9298,0.9324,0.9796,0.9717,0.8766,0.9385,0.5952
