data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/ur3-cobot-ops/datasets/TabDDPM/1.csv,-0.1895,0,7355,9572,0.8509,0.9191,0.9194,0.9039,0.8892,0.9666,0.9647,0.8345,0.9153,0.6389
./evaluation/ur3-cobot-ops/datasets/TabDDPM/2.csv,0.1053,0,7355,9572,0.8864,0.9219,0.9135,0.9083,0.9044,0.9685,0.9687,0.8413,0.9197,0.627
./evaluation/ur3-cobot-ops/datasets/TabDDPM/3.csv,-0.2211,0,7355,9572,0.8744,0.9264,0.9233,0.9131,0.9032,0.9707,0.9705,0.8495,0.9235,0.6429
./evaluation/ur3-cobot-ops/datasets/TabDDPM/4.csv,0.0211,1,7355,9572,0.8808,0.9172,0.9207,0.9014,0.8843,0.966,0.9659,0.8316,0.9131,0.6468
./evaluation/ur3-cobot-ops/datasets/TabDDPM/5.csv,-0.1895,0,7355,9572,0.8677,0.9159,0.9066,0.9013,0.8977,0.965,0.965,0.8293,0.9137,0.6389
./evaluation/ur3-cobot-ops/datasets/TabDDPM/6.csv,-0.2211,0,7355,9572,0.8597,0.9214,0.9128,0.9079,0.9032,0.9711,0.969,0.8395,0.9191,0.6429
./evaluation/ur3-cobot-ops/datasets/TabDDPM/7.csv,0.1368,0,7355,9572,0.867,0.9277,0.92,0.9152,0.9105,0.9733,0.9724,0.8522,0.9255,0.6548
./evaluation/ur3-cobot-ops/datasets/TabDDPM/8.csv,-0.2,0,7355,9572,0.8617,0.9201,0.9286,0.9042,0.8819,0.9684,0.967,0.8371,0.9153,0.623
./evaluation/ur3-cobot-ops/datasets/TabDDPM/9.csv,0.0947,0,7355,9572,0.8657,0.9178,0.9039,0.9041,0.9044,0.968,0.9669,0.8321,0.9161,0.6468
./evaluation/ur3-cobot-ops/datasets/TabDDPM/10.csv,-0.0526,0,7355,9572,0.8721,0.9217,0.9136,0.908,0.9026,0.9672,0.9676,0.8399,0.9193,0.6151
