data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/wilt/datasets/TVAE/1.csv,1.0,5,4839,6408,0.8841,0.931,0.9206,0.9193,0.918,0.9797,0.9775,0.859,0.9293,0.619
./evaluation/wilt/datasets/TVAE/2.csv,1.0,5,4839,6408,0.8775,0.9236,0.909,0.9111,0.9144,0.9802,0.9767,0.8449,0.9224,0.619
./evaluation/wilt/datasets/TVAE/3.csv,1.0,5,4839,6408,0.8843,0.9446,0.9402,0.935,0.9299,0.9855,0.9834,0.8868,0.9428,0.619
./evaluation/wilt/datasets/TVAE/4.csv,0.8,0,4839,6408,0.8845,0.9501,0.9411,0.9417,0.9426,0.9866,0.985,0.8982,0.9491,0.619
./evaluation/wilt/datasets/TVAE/5.csv,1.0,5,4839,6408,0.8789,0.9329,0.9281,0.9211,0.9144,0.9808,0.9773,0.863,0.9306,0.619
./evaluation/wilt/datasets/TVAE/6.csv,1.0,5,4839,6408,0.8876,0.9485,0.9689,0.938,0.9089,0.9846,0.982,0.8954,0.9435,0.619
./evaluation/wilt/datasets/TVAE/7.csv,1.0,5,4839,6408,0.8656,0.9345,0.9282,0.9233,0.9189,0.9814,0.9767,0.8665,0.9325,0.619
./evaluation/wilt/datasets/TVAE/8.csv,1.0,5,4839,6408,0.8826,0.9477,0.9541,0.9379,0.9226,0.9852,0.9827,0.8934,0.9446,0.619
./evaluation/wilt/datasets/TVAE/9.csv,1.0,5,4839,6408,0.8812,0.9431,0.9297,0.9338,0.9381,0.9846,0.9818,0.8839,0.9424,0.619
./evaluation/wilt/datasets/TVAE/10.csv,1.0,5,4839,6408,0.8837,0.9403,0.9293,0.9304,0.9317,0.9838,0.9813,0.8783,0.9392,0.619
