data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/wilt/datasets/TabDDPM/1.csv,0.8,1,4839,6408,0.921,0.9766,0.9553,0.9732,0.9918,0.9964,0.9944,0.953,0.9785,0.619
./evaluation/wilt/datasets/TabDDPM/2.csv,0.2,0,4839,6408,0.8523,0.9778,0.9661,0.9743,0.9827,0.9957,0.994,0.9549,0.9784,0.619
./evaluation/wilt/datasets/TabDDPM/3.csv,0.0,0,4839,6408,0.8293,0.975,0.9576,0.9713,0.9854,0.9956,0.9948,0.9496,0.9763,0.6349
./evaluation/wilt/datasets/TabDDPM/4.csv,0.6,1,4839,6408,0.8876,0.9731,0.9533,0.9691,0.9854,0.9955,0.9932,0.9457,0.9746,0.6349
./evaluation/wilt/datasets/TabDDPM/5.csv,0.4,1,4839,6408,0.8551,0.9746,0.9693,0.9704,0.9718,0.9953,0.9937,0.9484,0.9743,0.6508
./evaluation/wilt/datasets/TabDDPM/6.csv,0.8,1,4839,6408,0.9124,0.9762,0.9609,0.9726,0.9845,0.9965,0.9952,0.9518,0.9773,0.6349
./evaluation/wilt/datasets/TabDDPM/7.csv,0.6,1,4839,6408,0.9204,0.9762,0.9584,0.9726,0.9872,0.9962,0.9953,0.9519,0.9776,0.619
./evaluation/wilt/datasets/TabDDPM/8.csv,0.6,1,4839,6408,0.8941,0.9774,0.9603,0.974,0.9882,0.9963,0.9954,0.9544,0.9787,0.619
./evaluation/wilt/datasets/TabDDPM/9.csv,0.6,1,4839,6408,0.8995,0.9727,0.9566,0.9685,0.9809,0.994,0.9935,0.9447,0.9737,0.6349
./evaluation/wilt/datasets/TabDDPM/10.csv,0.4,1,4839,6408,0.8556,0.9778,0.9702,0.9742,0.9781,0.9966,0.9955,0.9547,0.9778,0.6508
