data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/abalone/datasets/CTGAN/1.csv,0.7143,1,4177,5299,0.8979,0.942,0.9987,0.9274,0.8656,0.9804,0.9785,0.8858,0.9324
./selection/abalone/datasets/CTGAN/2.csv,0.7143,2,4177,5299,0.9019,0.9415,0.9817,0.928,0.88,0.9811,0.9794,0.8828,0.9338
./selection/abalone/datasets/CTGAN/3.csv,0.7143,1,4177,5299,0.8983,0.9425,0.9901,0.9287,0.8744,0.9806,0.9791,0.8856,0.9339
./selection/abalone/datasets/CTGAN/4.csv,0.7857,1,4177,5299,0.8877,0.9325,0.9358,0.92,0.9053,0.9801,0.9783,0.8625,0.9291
./selection/abalone/datasets/CTGAN/5.csv,0.7143,1,4177,5299,0.8964,0.9401,0.9781,0.9264,0.88,0.9811,0.9792,0.8797,0.9326
./selection/abalone/datasets/CTGAN/6.csv,0.7143,0,4177,5299,0.8861,0.9358,0.9565,0.9225,0.891,0.98,0.9783,0.8696,0.9302
./selection/abalone/datasets/CTGAN/7.csv,0.7143,0,4177,5299,0.8997,0.9363,0.9504,0.9236,0.8987,0.9807,0.979,0.8703,0.9316
./selection/abalone/datasets/CTGAN/8.csv,0.7143,0,4177,5299,0.8905,0.9335,0.9673,0.9184,0.8744,0.9789,0.9772,0.8658,0.9261
./selection/abalone/datasets/CTGAN/9.csv,0.7143,3,4177,5299,0.8896,0.934,0.9461,0.9209,0.8976,0.9799,0.9782,0.8655,0.9294
./selection/abalone/datasets/CTGAN/10.csv,0.7143,2,4177,5299,0.9026,0.9373,0.9543,0.9247,0.8976,0.9813,0.9796,0.8728,0.9323
